Kod stacji,LdLodzWIOSARubinst,LdLodzWIOSAZachodn,LuZgoraWIOS_AUT,MzPlockPKN,MzPlockPKN1,MzPlockPKN2,MzPlockPKN3,MzPlockReja,MzRadomTochter,MzWarNiepodKom,MzWarszUrsynow,OpKkozle1a,OpZdze2a,SlZabrzZabr_sklod,WpWKP002,ZpSzczecin002
Wskaźnik,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2005-01-01 01:00:00,2.61,1.69,0.1,,1.96,,,,2.15,1.53,1.02,,,,,0.1
2005-01-01 02:00:00,2.18,1.77,0.1,,3.55,,,0.91,1.96,1.62,0.9,,,,0,0.5
2005-01-01 03:00:00,1.99,1.57,0.1,,4.72,,,0.83,1.92,1.46,0.83,,,,0,0
2005-01-01 04:00:00,1.83,1.22,0.1,,2.88,,,0.84,1.76,1.21,0.84,,,,0,0
2005-01-01 05:00:00,1.86,1.22,0.1,,3.55,,,0.76,1.77,1.19,0.79,,,,0,0
2005-01-01 06:00:00,1.82,1.15,0.1,,4.18,,,0.68,1.81,1.17,0.79,,,,0,0
2005-01-01 07:00:00,1.68,1,0,,5.77,,,0.64,1.68,1.05,0.81,,,,0,0
2005-01-01 08:00:00,1.45,0.89,0,,3.85,,,0.6,1.66,0.99,0.77,,,,0,0
2005-01-01 09:00:00,1.29,0.95,,,3.31,,,0.55,1.68,0.83,0.72,,,,0,0
2005-01-01 10:00:00,1.32,1.19,0.1,,2.16,,,0.52,1.52,0.81,0.69,,,,0,0
2005-01-01 11:00:00,1.25,1.23,0.1,,3.85,,,0.54,1.67,0.77,0.68,,,,0,0
2005-01-01 12:00:00,1.37,1.63,0.1,,1.95,,,0.58,1.65,0.7,0.6,,,,0,0.5
2005-01-01 13:00:00,,1.66,0.1,,1.85,,,0.74,1.68,0.72,0.62,,,,0,1
2005-01-01 14:00:00,1.81,2,0.1,,1.65,,,0.85,1.61,0.75,0.66,,,,0,1
2005-01-01 15:00:00,1.58,1.32,0.1,,1.17,,,0.46,2.13,0.85,0.7,,,,0,1.5
2005-01-01 16:00:00,1.45,0.94,0.1,,1.24,,,0.6,1.81,0.87,0.69,,,,0,1
2005-01-01 17:00:00,1.4,0.88,0.1,,1.14,,,0.46,1.88,0.94,0.65,,,,0,1
2005-01-01 18:00:00,1.47,0.88,0.1,,1.17,,,0.83,1.86,0.97,0.64,,,,1,1
2005-01-01 19:00:00,1.66,1.06,0.1,,1.22,,,0.6,1.36,0.88,0.57,,,,3,1
2005-01-01 20:00:00,1.48,1.63,0.1,,1.16,,,0.74,1.5,0.84,0.52,,,,2,1
2005-01-01 21:00:00,1.6,1.11,0.2,,1.9,,,0.58,1.57,0.78,0.46,,,,,1
2005-01-01 22:00:00,1.68,1.41,0.1,,2.73,,,0.62,1.12,0.61,0.42,,,,2,1
2005-01-01 23:00:00,1.59,1.64,0.2,,2.05,,,0.61,1.25,0.6,0.44,,,,3,0
2005-01-02 00:00:00,2.28,1.65,0.2,,1.26,,,0.54,1.16,0.62,0.57,,,,1,0
2005-01-02 01:00:00,2.46,1.51,0.1,,0.89,,,0.6,1.09,,0.39,,,,1,0
2005-01-02 02:00:00,2.04,1.38,0.1,,0.94,,,0.54,0.93,0.64,0.36,,,,1,0
2005-01-02 03:00:00,1.6,1.04,0,,1.09,,,0.53,0.98,0.53,0.48,,,,0,0
2005-01-02 04:00:00,1.44,0.87,0,,1.1,,,0.53,0.94,0.46,0.55,,,,0,0
2005-01-02 05:00:00,1.21,0.68,0,,1.04,,,0.49,1.06,0.5,0.49,,,,0,0
2005-01-02 06:00:00,1.5,0.7,0,,1.24,,,0.55,0.97,0.51,0.51,,,,0,0
2005-01-02 07:00:00,1.06,0.78,0,,1.2,,,0.55,,0.55,0.51,,,,0,0
2005-01-02 08:00:00,1.28,0.89,0,,1.13,,,0.56,1.29,0.61,0.49,,,,0,
2005-01-02 09:00:00,1.91,1.5,0,,1.25,,,0.58,1.52,0.59,0.55,,,,0,0
2005-01-02 10:00:00,1.59,1.6,0.1,,1.22,,,0.64,1.45,0.72,,,,,0,0
2005-01-02 11:00:00,1.44,1.74,0.1,,1.43,,,0.82,1.46,0.94,,,,,0,0
2005-01-02 12:00:00,1.46,1.69,0.1,,2.38,,,0.61,1.27,1.07,0.71,,,,0,0.5
2005-01-02 13:00:00,1.26,1.28,0.1,,4.24,,,0.48,1.17,0.99,0.6,,,,0,1
2005-01-02 14:00:00,1.18,0.71,0,,4.1,,,0.41,1.22,0.74,0.49,,,,0,1
2005-01-02 15:00:00,1.15,0.66,0.1,,3.06,,,0.38,1.2,0.64,0.39,,,,0,1
2005-01-02 16:00:00,1.05,0.89,0.1,,4.31,,,0.35,1.1,0.57,0.4,,,,0,1
2005-01-02 17:00:00,1.2,0.97,0.1,,3.2,,,0.43,1.2,0.54,0.41,,,,0,1
2005-01-02 18:00:00,1.12,1.01,0.1,,3.48,,,0.41,1.04,0.46,0.37,,,,0,1
2005-01-02 19:00:00,1.01,,0.1,,2.63,,,0.42,1.1,0.5,0.42,,,,0,1
2005-01-02 20:00:00,1.05,,0,,2.47,,,0.47,1.34,0.61,0.49,,,,0,0.5
2005-01-02 21:00:00,1.15,0.98,0,,2.47,,,0.45,1.26,0.69,0.46,,,,0,0.5
2005-01-02 22:00:00,1,0.74,0,,4.04,,,0.36,0.95,0.59,0.41,,,,0,0
2005-01-02 23:00:00,0.87,0.68,0,,3.01,,,,0.83,0.47,0.37,,,,0,0
2005-01-03 00:00:00,0.84,0.59,0,,1.12,,,0.41,0.81,0.41,0.34,,,,0,0
2005-01-03 01:00:00,0.8,0.49,0,,2.02,,,0.4,0.85,0.36,0.31,,,,0,0
2005-01-03 02:00:00,0.77,0.42,0,,2.83,,,0.31,0.74,0.32,0.29,,,,0,0
2005-01-03 03:00:00,0.79,0.38,0,,1.99,,,0.27,0.55,0.28,0.25,,,,0,0
2005-01-03 04:00:00,0.71,0.36,0,,1.76,,,0.25,0.68,0.23,0.24,,,,0,0
2005-01-03 05:00:00,0.73,0.35,0,,3.72,,,0.24,0.51,0.24,0.23,,,,0,0
2005-01-03 06:00:00,0.67,0.36,0,,2.87,,,0.23,0.54,0.23,0.23,,,,0,0
2005-01-03 07:00:00,0.72,0.38,0,,2.62,,,0.24,0.56,0.26,0.25,,,,0,0
2005-01-03 08:00:00,0.83,0.54,0,,3.01,,0.26,0.28,0.64,0.35,0.31,,,,0,0
2005-01-03 09:00:00,0.94,0.79,0.1,,4.58,,0.54,0.4,0.99,0.59,0.36,,,,0,0.5
2005-01-03 10:00:00,1.22,0.8,0.1,,4.6,,0.44,0.38,1.19,0.81,0.4,,,,0,1
2005-01-03 11:00:00,,1.04,0.1,,4.03,,0.38,0.38,1.89,0.72,0.38,,,,0,0.5
2005-01-03 12:00:00,,1.08,0.1,,2.9,,0.56,0.38,1.24,0.74,0.35,,,,0,1
2005-01-03 13:00:00,1.27,1.17,0.1,,2.94,,0.87,0.39,1.28,0.78,0.35,,,,0,1
2005-01-03 14:00:00,1.34,1.06,0.1,,2.61,,0.58,0.36,1.09,0.84,0.41,,,,0,1
