Kod stacji,DsWalbrzWyso,DsWrocWybCon,KpBydPlPozna,LbLublin_Krasn,LdLodzWIOSARubinst,LdLodzZachod,MzPlocKroJad,MzPlockPKN1,MzPlockPKN2,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarTolstoj,MzWarWokalna,OpKKozBSmial,OpZdziePiast,SlDabro1000L,SlZabSkloCur,WmOlsPuszkin,WpPoznDabrow,ZpSzczPils02
2006-01-01 01:00:00,,,,2.1,2.05,2.4,2.91,2.07,1.54,2.96,,1.78,1.07,1.05,1,0,5,4.89,,,
2006-01-01 02:00:00,,,,2.07,2.15,2.36,2.63,2,1.47,2.75,,1.91,1.02,1.04,1,0,4,6.18,,,
2006-01-01 03:00:00,,,,2.03,1.58,1.97,2.53,1.6,1.5,2.72,,2.01,1,1,1,0,5,5.05,,,
2006-01-01 04:00:00,,,,1.98,1.93,1.93,2.42,1.72,1.48,2.42,,1.8,0.96,0.84,0,0,6,4.55,,,
2006-01-01 05:00:00,,,,1.89,2.42,2.5,2.46,1.83,1.4,2.61,,1.52,0.85,0.72,0,0,4,3.33,,,
2006-01-01 06:00:00,,,,1.77,2.12,2.65,2.88,2.01,1.51,2.7,,1.43,0.73,0.67,0,0,4,3.07,,,
2006-01-01 07:00:00,,,,1.72,1.26,1.67,3.47,2.26,1.9,3.01,,1.34,0.66,0.65,0,0,2,3.48,,,
2006-01-01 08:00:00,,,,1.66,1.11,1.4,3.21,2.23,1.98,3.08,,,0.65,0.64,0,0,2,5.45,,,
2006-01-01 09:00:00,,,,1.61,1.92,1.82,3,1.98,1.84,2.92,,,0.61,0.64,1,1,2,5.22,,,
2006-01-01 10:00:00,,,,1.61,2.01,2.47,2.82,2.01,2.02,3.03,,1.29,0.58,0.64,1,0,3,6.61,,,
2006-01-01 11:00:00,,,,1.61,2.59,2.81,3.19,1.83,1.16,3.82,,1.21,0.6,0.64,1,0,4,6.65,,,
2006-01-01 12:00:00,,,,1.57,3.25,3.66,3.12,2.11,2.11,3.51,,1.24,0.62,0.72,2,0,4,9.03,,,
2006-01-01 13:00:00,,,,1.52,3.57,4.41,3.29,2.12,2.2,3.43,,1.43,0.65,0.86,1,0,4,9.53,,,
2006-01-01 14:00:00,,,,1.52,3.21,4.79,3.6,1.96,2.16,3.49,,1.44,0.71,0.82,3,2,4,10.7,,,
2006-01-01 15:00:00,,,,1.52,3.39,5.53,4.06,1.81,1.98,3.76,,1.51,0.78,0.78,3,2,4,12.48,,,
2006-01-01 16:00:00,,,,1.54,3.75,5.33,3.99,1.87,2.32,4.16,,1.53,0.76,0.77,3,5,4,16.85,,,
2006-01-01 17:00:00,,,,1.82,3.67,5.48,3.95,2.17,2.63,3.73,,1.51,0.74,0.77,4,5,4,17.31,,,
2006-01-01 18:00:00,,,,2.35,4.41,6.54,4.43,2.55,2.72,3.49,,1.54,0.69,0.74,4,10,5,15.42,,,
2006-01-01 19:00:00,,,,2.58,4.48,7.28,4.57,2.7,2.89,3.39,,1.53,0.69,0.8,5,12,5,24.31,,,
2006-01-01 20:00:00,,,,2.57,3.67,5.76,4.56,2.76,2.61,3.6,,1.57,0.67,0.8,5,13,9,31.06,,,
2006-01-01 21:00:00,,,,2.39,4.31,5.15,4.3,2.78,3.03,3.44,,1.8,0.68,0.9,5,6,5,29.21,,,
2006-01-01 22:00:00,,,,2.21,4.88,4.81,4.17,2.39,2.43,3.81,,1.85,0.68,0.96,3,5,9,37.39,,,
2006-01-01 23:00:00,,,,2.05,3.22,4.71,4.13,2.44,2.68,4.28,,1.89,0.67,1.38,3,3,11,31.98,,,
2006-01-02 00:00:00,,,,1.86,2.5,3.9,3.5,2.6,3.26,3.13,,1.5,0.87,1.03,3,2,14,24.69,,,
2006-01-02 01:00:00,,,,1.81,2.35,,2.99,2.47,1.93,3.02,,1.38,0.87,0.89,2,2,10,23.04,,,
2006-01-02 02:00:00,,,,1.7,2.17,,3.13,2.56,2.98,,,1.17,0.82,0.65,3,1,8,18.25,,,
2006-01-02 03:00:00,,,,1.6,1.94,2.75,3.12,1.86,2.65,,,0.97,0.68,0.52,3,1,8,16.66,,,
2006-01-02 04:00:00,,,,1.53,1.81,2.27,2.71,1.81,4,2.65,,0.86,0.54,0.46,3,1,4,11.89,,,
2006-01-02 05:00:00,,,,1.52,1.76,2.21,2.75,1.95,1.66,2.82,,0.84,0.47,0.45,2,1,4,9.36,,,
2006-01-02 06:00:00,,,,1.54,1.66,2.53,2.6,1.93,1.84,2.85,,0.85,0.44,0.49,3,1,4,8.57,,,
2006-01-02 07:00:00,,,,1.68,2.28,3.53,3.2,2.03,1.65,3.12,,0.94,0.44,0.46,3,1,4,8.79,,,
2006-01-02 08:00:00,,,,1.92,2.45,3.53,4.15,,1.69,3.33,,1.21,0.47,0.53,4,2,4,8.12,,,
2006-01-02 09:00:00,,,,2.19,2.71,3.46,2.97,1.63,2.59,3.47,,1.81,0.53,0.67,6,2,5,7.74,,,
2006-01-02 10:00:00,,,,2.49,,5.48,2.78,1.49,2.41,3.42,,1.62,0.69,0.61,7,2,5,6.92,,,
2006-01-02 11:00:00,,,,2.73,,5.21,2.77,1.54,2.83,2.96,,1.38,0.74,0.63,8,2,3,4.46,,,
2006-01-02 12:00:00,,,,2.9,3.47,4.8,2.91,1.6,2.53,2.93,,1.88,0.72,0.74,7,2,3,3.5,,,
2006-01-02 13:00:00,,,,3.07,3.67,4.61,2.83,1.64,2.52,2.69,,1.69,0.83,0.78,4,2,3,4.33,,,
2006-01-02 14:00:00,,,,3.07,3.55,3.85,2.63,1.83,1.91,3,,2.09,0.79,0.93,4,1,3,6.22,,,
2006-01-02 15:00:00,,,,3.07,2.97,4.08,2.7,,2.29,2.81,,1.93,0.81,0.95,6,2,4,5.18,,,
2006-01-02 16:00:00,,,,3.14,3.32,4.73,2.56,1.75,2,2.71,,2.36,0.98,1.01,3,1,3,6.06,,,
2006-01-02 17:00:00,,,,3.13,3.65,6.17,2.49,1.67,2.53,3.1,,2.92,1.04,1.06,3,1,4,6.6,,,
2006-01-02 18:00:00,,,,3.03,2.78,4.23,2.56,1.82,1.9,3.24,,2.71,1.03,1.37,5,1,4,6.19,,,
2006-01-02 19:00:00,,,,2.99,2.97,3.72,2.62,1.95,2.43,2.64,,2.46,1.42,1.58,6,1,5,5.72,,,
2006-01-02 20:00:00,,,,3.01,2.71,3.4,2.91,2.03,1.92,2.77,,2.65,1.75,1.63,6,1,4,4.84,,,
2006-01-02 21:00:00,,,,3.1,2.78,3.46,2.86,2.03,1.97,2.98,,2.23,1.81,1.63,3,1,4,3.79,,,
2006-01-02 22:00:00,,,,2.95,2.78,3.74,2.78,1.85,1.88,2.8,,2.18,1.48,1.43,3,1,4,3.51,,,
2006-01-02 23:00:00,,,,2.67,2.74,3.54,2.72,1.83,1.6,2.76,,1.93,1.4,1.3,2,1,4,3.02,,,
2006-01-03 00:00:00,,,,2.38,2.62,3.26,2.68,1.88,1.56,2.46,,1.65,1.29,1.15,3,1,3,2.49,,,
2006-01-03 01:00:00,,,,2.03,2.6,3.22,2.74,1.81,1.38,2.55,,1.62,1.16,0.97,3,1,3,2.44,,,
2006-01-03 02:00:00,,,,1.8,2.43,2.92,2.73,1.76,1.36,2.5,,1.66,1.02,0.84,2,1,3,2.53,,,
2006-01-03 03:00:00,,,,1.58,2.28,2.64,3.03,2.72,1.39,2.43,,1.55,0.94,0.76,2,1,3,2.38,,,
2006-01-03 04:00:00,,,,1.44,2.07,2.47,2.55,1.8,1.34,2.69,,1.26,0.8,0.71,1,1,3,2.34,,,
2006-01-03 05:00:00,,,,1.36,1.89,2.31,2.31,1.88,1.38,2.3,,1.15,0.74,0.63,1,1,3,2.29,,,
2006-01-03 06:00:00,,,,1.24,1.84,2.17,2.45,1.9,1.41,2.42,,,0.66,0.57,1,1,3,2.3,,,
2006-01-03 07:00:00,,,,1.29,1.66,2.32,2.34,1.57,1.37,2.63,,,0.63,0.58,1,0,4,2.4,,,
