Kod stacji,DsJgCiepA,DsWalbrzWyso,DsWrocWybCon,KpBydgBlota,KpBydgCO,KpBydPlPozna,KpSepolno,KpWloclOpsis,KpZielBoryTu,LbLublin_Krasn,LdLodzWIOSARubinst,LdLodzZachod,LuGorzKosGdy,MpKrakBulwar,MzPlocKroJad,MzPlockPKN1,MzPlockPKN2,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,OpZdziePiast,PmSlupKniazi,PmGdyWendy10,PmStaGdaLubi,SlDabro1000L,SlZabSkloCur,WmElbBazynsk,WmOlsPuszkin,WpPoznDabrow,ZpSzczPils02
2008-01-01 01:00:00,,,1.3,,,5,,,,,1.9,2.4,,7.9,2.5,1.5,,5.2,,6.4,4.5,8,4,3.8,1.8,0.4,11.1,14.1,5.2,,1.5,1
2008-01-01 02:00:00,,,1.3,,,5.1,,,,,1.8,2.3,,7,2.8,1.8,,5.7,,5.3,4.4,11,3,3.2,2.3,0.3,10.8,11.4,4.4,,1.3,1
2008-01-01 03:00:00,,,1.3,,,4.3,,,,,1.6,2,,6.2,1.8,1.7,,5,,6,4.3,7,4,,2.2,0.3,11.5,6,4.1,,1.2,1
2008-01-01 04:00:00,,,0.6,,,4.2,,,,,1.6,1.7,,6.2,2.5,1.1,,3.2,,4.8,4,5,4,,2.2,0.2,12.1,10.2,4.3,,1,0.3
2008-01-01 05:00:00,,,1,,,4,,,,,1.4,1.6,,5.3,1.4,0.9,,3,,5,3.8,3,3,2.7,2.3,0.2,6.9,10.8,4.2,,0.9,0.1
2008-01-01 06:00:00,,,0.2,,,3.9,,,,,1.7,1.6,,5.2,1.1,0.8,,2.7,,4.3,3.8,2,3,2.2,1.7,0.2,3.1,9.6,3.8,,0.9,0.1
2008-01-01 07:00:00,,,0.2,,,3.7,,,,,1.6,1.8,,5,,0.7,,2.3,,4.2,3.9,2,3,2,1.6,0.2,2.7,7.8,3.5,,0.9,0.1
2008-01-01 08:00:00,,,0.2,,,4.4,,,,,1.4,1.6,,5,1.1,0.6,,2,,4.2,4.7,3,3,1.9,1.7,0.2,2,6.5,3.3,,1,0.1
2008-01-01 09:00:00,,,0.2,,,4.1,,,,,1.4,1.5,,5,1.4,0.7,,1.7,,3.6,5.5,3,3,1.8,1.7,0.3,1.8,5.8,3.2,,1,0.1
2008-01-01 10:00:00,,,0.2,,,4.5,,,,,1.5,1.5,,5.8,2,0.8,,1.8,,4.6,5.7,3,3,1.8,2,0.2,2,5.9,3.8,,1.4,0.1
