Kod stacji,DsWalbrzWyso,DsWrocWybCon,KpBydPlPozna,KpToruKaszow,LdLodzZachod,LuGorzKosGdy,MpKrakBulwar,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,OpZdziePiast,PmSlupKniazi,PmStaGdaLubi,SlDabro1000L,WmElbBazynsk,WmOlsPuszkin,WpPoznDabrow,ZpSzczPils02
2009-01-01 01:00:00,2.4,,42.6,0,4,,39,6.2,4.5,12.2,8.7,,1,4,9.8,1.9,4.8,12.6,,8.4,2.8
2009-01-01 02:00:00,2.2,,36.62,8.44,4.3,,19.8,5.2,4,11.2,7.7,,1,5,8.9,1.8,4.9,12.5,,7.9,2
2009-01-01 03:00:00,2.5,,26.86,4.94,3.2,,8,5.5,4.5,11.8,7.2,,1,5,7.9,1.8,2.5,11.3,,5.2,2.5
2009-01-01 04:00:00,2.2,,22.93,6.49,2.4,,5,6.8,5.4,10.4,4.6,,1,5,7.9,1.4,2,10.9,,4.2,2.3
2009-01-01 05:00:00,2.1,,19.97,0.22,2.4,,3.5,9.1,6.4,8,3.1,,1,4,7.6,1.2,1.9,8.8,,3.7,1.5
2009-01-01 06:00:00,2.1,,16.34,1.72,2.6,,3.5,9.6,6.8,5.4,3.1,,1,4,,1.3,2,8.4,,3.8,1.3
2009-01-01 07:00:00,2.2,,14.77,5.77,3,,3.5,9.3,6.5,4.6,3.3,,1,7,,1.2,2,7.5,,3.2,0.8
2009-01-01 08:00:00,3,,14.55,3.55,3,,3.5,8.2,6,4.2,3.8,,2,5,9.4,1.2,2.4,7.4,,3.3,0.3
2009-01-01 09:00:00,4.7,,14.44,5.02,3.1,,3.5,7.8,5.6,4,3.5,,2,6,9.6,1.3,2.7,7.8,,3.5,0.1
2009-01-01 10:00:00,4.1,,13.72,3.17,3,,2.4,7.8,5.6,4,4.1,,2,7,9.9,1.7,3,8.9,,3.5,0.7
2009-01-01 11:00:00,4.7,,12.66,4.31,3.3,,2.3,7.1,5.6,3.8,4.1,,2,8,11.5,1.4,2.6,10.2,,3.8,0.6
2009-01-01 12:00:00,2.8,,12.92,4.8,3,,2.3,6.8,5.3,4,,,2,8,12.5,1.5,3,11.3,,4.8,0.1
2009-01-01 13:00:00,2.7,,14.01,2.46,3,,2.3,6.5,4.9,3.8,,,2,7,12.4,1.5,3.1,10.6,,4.4,0.5
2009-01-01 14:00:00,2.6,,13.5,2.05,3.1,,2.9,6.3,4.9,4.2,4.1,,3,6,8.2,1.9,3.8,11.2,,4.1,0.3
2009-01-01 15:00:00,2.6,,13.35,2.16,3.4,,2.9,6.6,4.9,4.3,4.5,,2,5,6.6,1.3,3.8,7.4,,4.3,0.1
2009-01-01 16:00:00,2.7,,15.78,2.16,3.5,,3.4,6.6,5.3,4.5,4.6,,2,5,6.5,0.4,2.6,6.3,,3.2,0.5
2009-01-01 17:00:00,2.4,,17.3,2.14,3.9,,3.5,6.7,5.2,4.6,5,,4,6,8,0.4,2.1,1.8,,3.6,0.6
2009-01-01 18:00:00,3.4,,15.48,3.26,3.6,,3.5,7,5.3,4.5,5.1,,3,7,10.9,0.4,3,3.2,,3.3,0.7
2009-01-01 19:00:00,2.8,,13.27,1.15,3.5,,3.5,7.2,5.5,5,5.2,,3,7,10.4,0.3,3.3,3.4,,2.2,1.8
2009-01-01 20:00:00,3.1,,12.85,2.32,4.3,,3.5,7.9,5.5,5,5.5,,2,7,7.5,1.5,3.4,3.9,,2.4,1.3
2009-01-01 21:00:00,2.1,,10.07,0,4.7,,3.5,5.8,5,5,5.6,,3,7,8.7,0.7,3.6,4.9,,2.2,1.3
2009-01-01 22:00:00,6.3,,12.85,0.98,4.3,,4,6.2,4.4,5.3,6.1,,3,6,9.4,0.3,3.7,9.7,,2.2,1.4
2009-01-01 23:00:00,4.2,,10.94,1.09,4.3,,4.7,4.9,4.1,5.4,5.7,,3,5,11.7,0.5,3,5,,2,1.5
2009-01-02 00:00:00,4.4,,8.91,0.75,4.6,,4.7,3.5,3.2,5.9,4.4,,2,5,10.1,0.6,3.1,2.9,,1.6,2
2009-01-02 01:00:00,3.9,,8.88,0,3.9,,4.7,4,3.1,5.6,3.4,,2,5,11.3,0.6,3,2.5,,1.7,1.8
2009-01-02 02:00:00,2.4,,9.15,0,3.7,,5.2,2.3,3.1,5.4,3.2,,2,5,10,0.6,2.8,1.6,,3.6,1.5
2009-01-02 03:00:00,5.3,,8.3,0,3.2,,4.7,3.2,2.4,5.4,3,,2,5,10.9,0.9,2.8,1.5,,2.4,0.8
2009-01-02 04:00:00,10.2,,7.99,0,2.7,,4.7,3.3,2.6,5.6,2.8,,2,4,10.7,0.5,2.7,1.5,,1.7,0.3
2009-01-02 05:00:00,8.4,,7.89,0,2.3,,4.7,4.3,2.5,5.1,2.9,,1,4,,0.3,2.5,1.8,,1.7,0.3
2009-01-02 06:00:00,3,,8.45,0.42,2.1,,4.7,6.5,3.4,5.1,3.3,,1,4,8.1,0.3,2.3,2,,1.8,0.7
2009-01-02 07:00:00,1.2,,9.59,0.41,2.5,,4.7,5.6,2.6,5.1,3.5,,1,5,7.9,1.5,2.3,1.6,,1.8,1.8
2009-01-02 08:00:00,1.7,,12.2,0,2.1,,5.2,,3.1,5,4.1,,2,5,7.9,1.2,2.5,3,,2.6,2
2009-01-02 09:00:00,2.2,,13.9,0.41,2,,4.8,3.8,2,5,4.1,,2,5,8.1,0.8,2.6,2.2,,3.4,2
2009-01-02 10:00:00,5,,20.49,0.04,2.1,,4.7,2.7,2.1,5.1,4.3,,2,6,9.8,2.1,3,3.5,,4,2
2009-01-02 11:00:00,8.5,,22.34,1.09,2.4,,4,2.3,2.1,5.3,3.8,,2,6,11.6,1.7,3.9,4.1,3.4,3.6,1.1
2009-01-02 12:00:00,3.7,,18.06,0.05,1.9,,4.7,2.3,2.3,5.1,4.7,,3,5,9.6,1.6,3.8,6,2.9,3.4,0.3
2009-01-02 13:00:00,3.8,,16.41,2.07,2.1,,4.7,3.2,2.5,5.4,4.6,,2,5,9.1,1.1,2.9,5.8,2.6,2.7,0.1
2009-01-02 14:00:00,4,,12.51,0.77,2,,4.7,3.2,2.5,5.3,4.5,,3,5,6.2,0.3,2.6,4.1,2.5,3.4,0.1
2009-01-02 15:00:00,3.4,,12.65,0,1.9,,5.2,3.8,3,5.4,4.6,,2,4,6,0.8,2.3,1.7,2.4,4.5,0.7
2009-01-02 16:00:00,2.1,,13.09,0,2.2,,3.6,5.2,3.2,5.4,4.3,,3,5,5.7,0.8,1.6,2.7,2.3,6,1.5
2009-01-02 17:00:00,2.2,,10.2,1.16,2.8,,3.5,5.3,3.8,4.6,4.5,,2,8,7,0.9,2.2,2.4,2.6,6.6,0.8
2009-01-02 18:00:00,2.8,,11.89,0,3.3,,3.5,4.7,3.8,4.2,3.9,,2,5,8.2,0.9,1.7,1.6,2.8,5.4,1.3
2009-01-02 19:00:00,2.9,,11.69,0.58,4,,2.5,5,,4.3,4.7,,2,5,9,1.9,1.3,2.4,2.8,4.3,1
2009-01-02 20:00:00,2.9,,12.16,0.76,4.6,,2.3,5.2,,3.8,5.2,,1,10,9.7,0.8,2,2.3,2.5,3.7,0.5
2009-01-02 21:00:00,3.2,,12.07,0.72,5.2,,2.3,4.6,3.6,4.6,5.3,,2,10,6.9,0.7,2.6,2.5,2.5,3.9,0.3
2009-01-02 22:00:00,2.4,,11.37,0.59,6.3,,3.4,4.8,3.5,4.3,4.8,,6,14,6.6,0.4,2.9,2.5,2.2,4,0.1
2009-01-02 23:00:00,1.5,,9.21,0.48,5.1,,4.6,4.3,3.2,4.6,4.3,,6,7,5.1,0.4,3.1,3,2.1,2.7,0.1
2009-01-03 00:00:00,1.6,,8.64,0.05,4.3,,5.7,3.6,2.8,4.8,3.7,,7,5,4.3,0.2,2.6,2.6,2.1,2.2,0.1
2009-01-03 01:00:00,3.6,,7.77,0,4.1,,3.8,3.4,2.7,4.6,3.4,,11,4,3.9,0.2,2.8,1.9,,2.1,0.1
2009-01-03 02:00:00,5.1,,7.04,0,3.3,,3.5,3.2,2.6,4.3,3.1,,2,3,4.7,0.1,1.8,1.5,2,1.7,0.1
2009-01-03 03:00:00,6.5,,5.95,0,3.1,,3.5,3.2,2.4,4.2,3.1,,1,3,4.8,0.1,1.8,1.3,1.7,1.4,0.1
2009-01-03 04:00:00,6.5,,5.15,0,3,,3.1,3,2.2,3.7,3.2,,1,2,,0.1,1.5,1.4,1.7,1.5,0.1
2009-01-03 05:00:00,15.3,,4.81,0,2.9,,2.3,3,2,3.7,3,,1,2,,0.1,1.6,1.4,1.6,1.9,0.1
2009-01-03 06:00:00,22.4,,5.08,0.25,2.6,,1.9,2.6,1.8,3.2,2.8,,1,3,,0.1,1.6,1.1,1.5,1.2,0.1
2009-01-03 07:00:00,19,,4.5,0,2.5,,1.2,2.4,1.9,3.2,2.5,,1,3,,0.1,1.7,1.1,1.3,2.2,0.1
2009-01-03 08:00:00,7,,4.92,0,2.4,,2.2,2.1,2.2,3.8,2.5,,1,2,,0.1,1.5,1.1,1.2,2.1,0.1
2009-01-03 09:00:00,8.5,,6.41,0,2.2,,2.5,2.3,2.6,4.5,2.5,,1,11,,0.2,1.4,1.1,1.4,2.1,0.3
