Kod stacji,KpBydPlPozna,KpCiechTezni,KpToruKaszow,KpZielBoryTu,LbLubObywate,LdLodzWIOSARubinst,LdLodzZachod,LuZielKrotka,MpKrakBulwar,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,OpZdziePiast,PkRzeszWIOSSzop,PmSlupKniazi,PmGdaKacze02,PmGdyWendy10,PmStaGdaLubi,SlDabro1000L,SlRybniBorki,WmElbBazynsk,WmOlsPuszkin,WpPoznDabrow,ZpSzczPils02
2011-01-01 01:00:00,5.2,,,0.745,3.97,1.75,2.57,,,2.31,3.59,3.64,1.13,,4,,,0.68,0.53,0.6,0.18,5.7,,,0.3,0,0.1
2011-01-01 02:00:00,0.89,,,0.72,3.76,1.58,1.99,,,2.24,2.39,3.12,1.07,,4,,,0.54,0.46,0.6,0.15,5.5,,,0.28,0.3,0.1
2011-01-01 03:00:00,0.8,,,,3.86,1.29,1.77,,,2.09,1.93,2.12,1.03,,3,,,0.64,0.36,0.4,0.09,4.9,,,0.25,0,0.1
2011-01-01 04:00:00,0.67,,,0.635,3.88,1.1,1.57,,,1.99,1.59,2.27,0.88,,4,,,0.32,0.26,0.4,0.08,4.2,,,0.2,0,0.1
2011-01-01 05:00:00,0.56,,,0.44,4.02,0.9,1.25,,,1.8,1.19,2.14,0.84,,4,,,0.49,0.22,0.3,0.06,4.3,,,0.16,0,0.1
2011-01-01 06:00:00,0.57,,,0.385,4.02,0.91,1.51,,,1.73,1.09,1.88,0.72,,5,,,0.31,0.21,0.3,0.07,3.4,,,0.15,0,0.1
2011-01-01 07:00:00,0.57,,,0.415,3.74,0.83,1.06,,,1.65,1.06,1.74,0.56,,4,,,0.56,0.2,0.4,0.07,2.7,,,0.14,0,0.1
2011-01-01 08:00:00,0.63,,,0.49,3.44,0.75,0.97,,,1.58,1.05,1.92,0.53,,3,,,0.45,0.19,0.3,0.14,2.1,,,0.11,0,0.1
2011-01-01 09:00:00,0.59,,,0.535,3.18,0.76,0.97,,,1.54,1.22,1.82,0.47,,2,,,0.8,0.2,0.3,0.1,1.7,,,0.11,0.2,0.1
2011-01-01 10:00:00,0.62,,,0.605,3.2,0.88,1.29,,,1.7,1.38,1.9,0.51,,2,,,0.52,0.22,0.4,0.1,1.9,,,0.12,0,0.1
2011-01-01 11:00:00,0.8,,,0.57,3.5,0.96,1.78,,,1.74,1.25,2.06,0.52,,2,,,0.49,0.24,0.4,0.11,1.9,,,0.11,0,0.3
2011-01-01 12:00:00,0.86,,,0.56,3.41,1.11,1.83,,,1.8,1.73,2.42,0.51,,2,,,0.64,0.25,0.4,0.15,2.1,,,0.11,0.5,0.5
