Kod stacji,KpBydPlPozna,KpCiechTezni,KpZielBoryTu,LbLubObywate,LdLodzGdansk,LdLodzZachod,LuGorzKosGdy,LuZielKrotka,MpKrakBulwar,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,OpZdziePiast,PmGdaKacze02,PmStaGdaLubi,SlDabro1000L,SlRybniBorki,WpPoznDabrow
2012-01-01 01:00:00,4.38,11.25,2.635,,,5.35,,0,,2.91,5.88,2.4,2.55,5.4,0.37,4,26,1.48,0.69,10.9,5.9,2.8
2012-01-01 02:00:00,1.2,2.92,1.38,,,5.06,,0,,2.66,4.99,2.46,2.16,5.37,0.19,5,31,1.92,0.72,9.8,3.4,2.5
2012-01-01 03:00:00,1.59,2.35,1.22,,,4.38,,0,,2.77,4.01,1.89,2.54,5.26,0.18,5,38,1.55,1.02,7.2,3.7,2.7
2012-01-01 04:00:00,1.76,1.47,1.165,,,4.68,,0,,2.73,3.96,,2.13,4.48,0.17,4,28,0.99,0.64,6.8,4.1,2.4
2012-01-01 05:00:00,1.71,1.62,0.91,,,3.48,,0,,2.27,3.04,,1.67,3.47,0.22,3,29,0.8,0.7,5.8,2.7,2.3
2012-01-01 06:00:00,1.17,0.99,0.985,,,2.96,,0,,2.34,2.74,1.25,1.58,1.94,0.12,3,26,0.65,0.79,4.8,2.1,1.9
2012-01-01 07:00:00,0.76,0.69,0.995,,,2.85,,0,,2.28,2.18,1.09,1.53,1.54,0.17,2,16,0.55,0.89,4.6,3.7,1.7
2012-01-01 08:00:00,1.55,0.73,0.915,,,3.61,,0,,1.95,2.11,1.89,1.71,1.4,0.13,2,16,0.86,0.51,3.6,3.8,1.8
2012-01-01 09:00:00,1.78,0.73,0.86,,,4.64,,0,,1.8,2.91,2.81,2.78,1.39,0.14,1,5,1.04,0.41,2.9,3.1,2.3
2012-01-01 10:00:00,1.97,1.21,1.09,,,4.9,,0,,1.96,2.61,2.62,2.01,1.6,0.14,1,2,1.26,0.61,3,2,2.1
2012-01-01 11:00:00,2.58,1.25,,,,4.77,,0,,2.22,3.06,1.97,1.4,1.5,0.12,1,2,0.89,0.55,4.7,1.2,2
2012-01-01 12:00:00,3.72,1.87,1.74,,,4.31,,0,,2.26,3.42,2.39,1.58,1.65,0.11,1,3,0.87,0.67,4.3,1.4,2.2
2012-01-01 13:00:00,3.35,1.69,1.8,,,4.14,,0,,2.5,4.58,2.47,1.78,1.77,0.18,1,2,0.88,0.7,3.9,1.2,2.4
2012-01-01 14:00:00,3.49,0.83,2.23,,,5.03,,0,,2.04,4.81,1.66,2.14,2.01,0.24,1,3,0.93,0.6,3.1,1.3,2.7
2012-01-01 15:00:00,3.66,1.29,2.35,,,4.91,,0,,2.94,4.55,2.04,2.16,1.68,0.19,1,3,1.18,1.18,2.4,1.5,3.2
2012-01-01 16:00:00,4.72,2.03,2.465,,,4.9,,0,,2.97,4.87,2.05,2.85,1.71,0.2,1,3,1.08,1.48,2.5,1.4,3.2
2012-01-01 17:00:00,4.27,1.82,2.57,,,4.3,,0,,2.95,4.33,2.25,3.23,1.91,0.2,1,3,1.13,1.69,3.1,1.8,2.8
2012-01-01 18:00:00,3.68,1.24,2.6,,,4.99,,0,,2.86,3.6,2.16,2.91,2.26,0.2,1,4,1.37,1.87,3.4,2.2,2.7
2012-01-01 19:00:00,2.49,0.82,2.495,,,4.62,,0,,2.88,3.43,2.72,3.61,2.33,0.17,1,3,1.4,1.83,3.2,1.5,2.1
2012-01-01 20:00:00,2.62,0.79,2.76,,,4.14,,0,,2.51,3.03,2.71,3.43,2.01,0.19,1,3,1.56,2.24,3.4,1.9,
2012-01-01 21:00:00,2.35,1.94,2.9,,,3.77,,0,,2.32,3.13,2.95,3.38,2.62,0.14,1,3,1.58,2.11,3.3,2.5,1.6
2012-01-01 22:00:00,2.29,1.48,2.65,,,4.26,,0,,2.23,3.13,3.08,3.3,2.94,0.11,2,3,1.54,3.11,2.9,1.8,1.6
2012-01-01 23:00:00,1.58,1.57,2.31,,,3.92,,0,,1.88,1.96,2.82,2.96,2.85,0.14,1,3,1.43,2.01,3,1.6,2
2012-01-02 00:00:00,1.18,1.19,1.91,,,3.19,,0,,1.62,1.83,2.87,2.87,3.68,0.19,1,2,1.38,2.23,3.7,1.6,1.4
2012-01-02 01:00:00,0.99,0.69,1.355,,,2.61,,0,,1.4,1.69,2.82,2.74,3.34,0.15,1,3,1.38,2.06,2.7,1.4,1.1
2012-01-02 02:00:00,0.32,0.73,1,,,2.3,,0,,1.02,1.77,2.32,2.58,3.46,0.16,1,2,1.08,1.4,2.4,2.4,1
2012-01-02 03:00:00,0.72,0.48,0.87,,,2.01,,0,,1.29,1.42,2.22,2.52,3.91,0.14,1,4,1.07,1.11,1.8,1.6,0.8
2012-01-02 04:00:00,0.32,0.14,0.91,,,1.89,,0,,1.26,1.37,,2.52,3.46,0.18,1,7,1.09,0.93,1.6,2,0.8
2012-01-02 05:00:00,0.29,0.17,0.96,,,2.02,,0,,1.12,1.35,1.51,2.52,2.46,0.14,1,2,0.85,0.65,1.4,1.2,0.6
2012-01-02 06:00:00,0.41,0.12,0.92,,,2.06,,0,,1.11,1.36,1.84,2.56,1.5,0.13,1,2,0.82,0.51,1.4,1.9,0.7
2012-01-02 07:00:00,0.3,0.09,0.91,,,2.18,,0,,1.18,1.64,1.78,3.04,1.73,0.16,1,2,0.6,0.4,1.6,1.8,0.7
2012-01-02 08:00:00,0.45,0.06,0.83,,,2.42,,0,,1.34,1.57,2.2,2.48,2.5,0.21,1,2,0.58,0.36,1.9,2.1,0.8
2012-01-02 09:00:00,0.48,0.17,0.87,,,3.29,,0,,1.36,1.37,1.91,3.16,3.54,0.17,1,2,0.56,0.65,2.5,2,0.9
2012-01-02 10:00:00,0.45,0.26,0.94,,,3.11,,0,,1.37,1.42,1.85,2.82,2.98,0.24,1,3,0.71,0.92,2.9,1.8,0.8
2012-01-02 11:00:00,0.4,0.36,1.99,,,3.11,,0,,1.38,1.36,1.71,2.48,2.49,0.23,1,3,0.49,0.92,3,2.1,0.8
2012-01-02 12:00:00,0.75,0.33,0.835,,,3.83,,0,,1.55,1.4,1.73,2.05,1.99,0.18,1,2,0.73,1.55,2.9,2.3,1.1
