Kod stacji,DsJelGorOgin,DsLegAlRzecz,DsWalbrzWyso,DsWrocWybCon,DsZgorBohGet,KpBydPlPozna,KpCiechTezni,KpZielBoryTu,LbLubObywate,LbZamoHrubie,LdLodzGdansk,LdLodzZachod,LuGorzKosGdy,LuZielKrotka,MpKrakBulwar,MpNoSaczNadb,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,OpZdziePiast,PkMielSolski,PkPrzemGrunw,PkRzeszRejta,PmGdaKacze02,PmSlupKniazi,PmStaGdaLubi,SkKielJagiel,SlCzerKopaln,SlCzestoBacz,SlDabro1000L,SlRybniBorki,WmElbBazynsk,WmOlsPuszkin,WpPoznDabrow,ZpSzczPils02
Wskaźnik,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2015-01-01 01:00:00,,2.8,3.8,,2.73134,2.05,1.38,,2.646418,2,,3.398301,,0.58154,4.4,,1.55,1.901003,,3.498659,3.163672,0.822319,1,2.3,3.99123,0.92881,1.62032,,,,0.61,,,3.7,3.7,1.954387,1.257201,0.3,
2015-01-01 02:00:00,6.00853,2.5,4.20024,,2.63895,1.48,1.31,,2.281559,2,,2.949329,,0.51037,3.9,,1.46,1.911484,,3.343067,2.928163,0,0.67299,1.01502,4.03209,0.8411,1.5474,0.37304,3.37851,,0.57,,,3.6,,1.672521,1.06126,0.3,
2015-01-01 03:00:00.005000,7.11967,2.5,4.35741,,2.78578,0.9,1.12,,2.078215,2,,2.832435,,0.40798,3.6,,1.35,1.695794,,3.213394,2.84564,0.01,0.82823,0.89991,3.80049,0.73944,1.52078,0.29383,3.15859,,0.54,,,3.9,,1.535002,0.977008,0.2,
2015-01-01 04:00:00.010000,7.05412,2.3,4.32035,,2.87389,0.85,0.92,,1.934986,2,,2.832187,,1.30998,3.2,,1.21,1.446735,,3.057913,2.757056,5.648927,0.83163,0.93194,3.67743,0.70127,1.48566,0.30307,2.80001,,0.53,,,3.9,3.8,1.446989,0.866983,0.2,
2015-01-01 05:00:00.015000,7.423,2.1,4.41361,,2.53621,0.28,0.86,,1.788736,2,,2.528575,,0.3749,3.2,,1.02,1.249993,,2.897409,2.652787,0.199858,0.81114,1.32546,3.47774,0.65614,1.48245,0.28307,2.47389,,0.54,,,3.7,3.7,1.607806,0.768986,0.2,
2015-01-01 06:00:00.020000,6.04866,1.9,4.74991,,2.16441,0.14,0.74,,1.710177,1.7,,2.231107,,0.28949,2.9,,0.92,1.195398,,2.767392,2.597413,1.645979,0.80599,2.09142,3.34371,0.63242,1.44281,0.24882,2.41929,,0.53,3.3,,4.2,3.7,1.416819,0.672569,0.1,
2015-01-01 07:00:00.025000,3.47956,1.9,4.1466,,0.91765,0,0.71,,1.666778,1.7,,2.194545,,0.25754,2.6,,0.79,1.026992,,2.691703,2.525056,1.448402,0.83912,1.56199,3.41422,0.63347,1.50875,0.24726,2.2421,,0.53,3.4,,3.9,3.8,0.755288,0.487997,0.1,
2015-01-01 08:00:00.030000,0.65521,1.9,3.90883,,0.76882,0.38,0.47,,1.656015,1.5,,1.929844,,0.2652,2.3,,0.61,0.842999,,2.642963,2.488304,2.262683,0.77285,3.84461,3.25826,0.65783,1.51874,0.24455,2.18079,,0.53,3.4,,4,4,0.728004,0.353257,0.1,
2015-01-01 09:00:00.035000,0.6627,1.9,4.11141,,0.81861,0.98,0.33,,1.658586,1.7,,2.024208,,0.27004,1.9,,0.52,0.679903,,2.740561,2.3262,9.998189,0.80451,9.86295,3.26278,0.70692,1.60046,0.25105,2.13194,,0.54,3.6,,4.5,4.2,0.797003,0.294667,0.1,
2015-01-01 10:00:00.040000,0.69896,2.1,4.2214,,0.72727,1.08,0.29,,1.747743,1.7,,1.978726,,0.43432,1.9,,0.45,0.563762,,3.177307,2.259099,0.642287,0.96911,7.07552,3.45824,0.76884,1.77584,0.24813,2.15454,,0.56,4.5,,4.5,5.1,0.843679,0.299542,0.1,
2015-01-01 11:00:00.045000,0.71124,2.1,4.19342,,0.96971,1.55,0.36,,1.810202,2,,0.773146,,0.37096,1.9,,0.41,0.589422,,3.295839,2.050531,10.849595,1.25787,5.51219,3.63354,0.87307,2.01945,0.25948,2.55472,,0.62,5.4,,5.1,6.6,1.870182,0.28442,0.2,
2015-01-01 12:00:00.050000,0.66,2.1,4.28777,,1.15982,1.73,0.3,,1.850655,2.4,,1.525151,,0.38333,1.9,,0.5,0.729677,,2.113359,1.997355,0.631514,1.48907,5.2028,3.64665,0.97476,2.24572,0.25957,2.55506,,0.63,6.4,,6,7.5,2.14284,0.332358,0.1,
2015-01-01 13:00:00.055000,0.59348,2.4,4.50324,,1.25158,1.71,0.38,,1.810744,2,,2.123376,,0.37859,2.3,,0.5,0.752361,,1.570363,1.766104,1.12186,2.22843,1.53201,3.52415,1.06932,2.69782,0.27441,3.46917,,0.69,8.8,,7,8.2,1.490283,0.396906,0.2,
2015-01-01 14:00:00.060000,0.59414,2,4.02433,,0.89894,0.79,0.38,,1.507239,1.7,,1.747917,,0.30046,2.5,,0.52,0.767295,,1.404021,1.755754,0.467021,2.60341,1.86171,3.55487,1.1683,2.93478,0.30713,3.70259,,0.67,9,,6.8,8,1.514725,0.40634,0.2,
2015-01-01 15:00:00.065000,0.53801,2,4.03424,,0.83331,0.66,0.57,,1.45867,2.2,,1.552834,,0.63562,2.6,,0.54,0.788658,,1.221583,1.759558,0.053552,2.35858,1.8824,3.72503,1.25528,2.98355,0.36031,3.51081,,0.62,7.6,,6.3,6.8,1.492177,0.41424,0.2,
2015-01-01 16:00:00.070000,0.75389,2.8,4.14038,,1.43381,1.36,0.82,,1.293388,2,,1.576104,,0.47726,2.6,,0.59,0.870399,,1.140397,1.717994,0.925613,2.3858,3.13477,3.75254,1.62795,3.27011,0.38568,3.42188,,0.52,7.9,,6.3,7.6,1.563882,0.365806,0.3,
