Kod stacji,DsCzLasMob,DsGlogSikor,DsJgCiepA,DsKromolin,DsLegPoraz,DsLegRzeczA,DsSobczyce,KpAirpGrudz,KpBydgPlPozn,KpBydgWarszawska,KpTorunKaszownik,KpWloclOkrzei,KpZielBoryTuch,LbLublinWIOS,LdLodzWIOSACzernik,LdLodzWIOSAGdanska,LdLodzWIOSAZachodn,LdPiotrkWIOSAKrakPrz,LdRadomsWIOSASokola4,LdZgierzWIOSAMielcza,LuGorzowWIOS_AUT,LuSulecWIOS_MOB,LuZaryWIOS_AUT,LuZgoraWIOS_AUT,MpKrakowWIOSAKra6117,MpKrakowWIOSBulw6118,MpOlkuszWIOSNull1205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzBelskIGFPAN,MzPlockPKN,MzPlockReja,MzRadomTochter,MzSiedlceKonar,MzWarNiepodKom,MzWarszMarsz,MzWarTarKondra,OpKkozle1a,PdBialyMiejska,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,Pm.63.wDSAa,Pm.a01a,Pm.a03a,Pm.a04a,Pm.a05a,Pm.a06a,Pm.a07a,Pm.a08a,Pm.AM12.a,Pm.AM15.a,Pm.AM16.a,Pm.AM17.a,Pm.polpharma.01.a,SkKielJagielWios,SkPolanRuszcz,SlBielbBiel_kossa,SlCieszCies_13mic,SlCzestCzes_arkr1,SlCzestCzes_baczy,SlDabroDabr_1000L,SlKatowKato_aleja,SlKatowKato_kossu,SlRybniRybn_borki,SlWodziWodz_galcz,SlZabrzZabr_sklod,WmElblagWIOS_Bazynsk,WmGoldapWIOS_Jacwies,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WpKonin311009D009102,WpPila5710111,WpWKP001,WpWKP002,ZpSzczecin002
Wskaźnik,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2013-01-01 01:00:00,,0.269,,0.306,0.562,2.929,0.707,0.419,0.319,0.534,0.418,0.511,,0.547,0.4781,0.8576,0.7618,1.1198,0.5065,0.5982,0.25,,0.63,0.53,3.33,1.43,0.44,0.47,0.37,2.87,0.408,0.482,0.352,0.625,0.45,0.749,0.604,0.463,0.76,0.459,0.40059,,0.59716,0.2878,0.2562,0.2736,,0.2912,0.3412,0.3804,0.3621,0.4452,0.3108,,0.5332,1.058,0.549,0.32,0.69,,0.45,0.56,,0.32,0.51,0.81,1.37,0.488,0.517,0.298,0.508,0.21,0.11,0.28,0.35,0.06
2013-01-01 02:00:00,,0.272,,0.301,0.91,2.312,0.404,0.466,0.343,0.486,0.411,0.448,,0.51,0.4755,0.8166,0.7596,1.0315,0.6541,0.5845,0.26,,0.63,0.43,4.14,1.76,0.46,0.5,0.27,2.7,0.467,0.414,0.312,0.646,0.455,0.74,0.539,0.437,0.74,0.486,0.39897,,0.56394,0.2599,0.2485,0.2686,0.1913,0.2965,0.292,0.3676,0.2968,0.4518,0.3061,,0.5336,0.943,0.573,0.32,0.65,0.57,0.45,0.51,0.57,0.46,,0.56,1.14,0.49,0.507,0.235,0.485,0.24,0.05,0.26,0.35,0.03
2013-01-01 03:00:00,,0.255,,0.292,0.745,2.432,0.348,0.524,0.366,0.428,0.378,0.442,,0.484,0.4662,0.6913,0.6406,1.0745,0.6188,0.5221,0.3,,0.61,0.46,5.43,1.98,0.45,0.49,0.32,3.04,0.466,0.414,0.304,0.602,0.421,0.794,0.585,0.442,0.7,0.533,0.37605,,0.57102,0.2408,0.2472,0.2478,0.2287,0.2908,0.3069,0.3557,0.3204,0.4071,0.2953,,0.5053,0.987,0.577,0.28,0.41,0.45,0.35,0.51,0.57,0.41,0.28,0.42,0.96,0.468,0.472,0.222,0.495,0.25,0.01,0.23,0.31,
2013-01-01 04:00:00,,0.219,,0.293,0.731,2.925,0.223,0.419,0.313,0.391,0.364,0.4,,0.442,0.4408,0.6293,0.6245,0.9396,0.4613,0.4873,0.24,,0.59,0.5,4.83,1.84,0.4,0.47,0.38,2.36,0.444,0.405,0.312,0.58,0.381,0.805,0.632,0.487,0.67,0.549,0.39433,,0.54565,0.2374,0.236,0.226,0.2315,0.2748,0.2909,0.342,0.3231,0.4102,0.2742,,0.4599,0.921,0.62,0.28,0.48,0.44,0.35,0.45,0.43,0.35,0.32,0.54,0.6,0.432,0.454,0.215,0.478,0.23,0.01,0.21,0.38,0.18
2013-01-01 05:00:00,,0.216,,0.296,0.569,3.076,0.194,0.419,0.314,0.398,0.342,0.398,,0.424,0.3886,0.4886,0.51,0.8209,0.4031,0.415,0.26,,0.58,0.51,4.14,1.95,0.46,0.47,,2.15,0.449,0.42,0.325,0.546,0.345,0.831,0.688,0.504,0.67,0.57,0.34941,,0.52749,0.2307,0.2522,0.2092,0.2253,0.2738,0.2929,0.3465,0.3044,0.4026,0.2534,,0.4707,0.81,0.595,0.26,0.44,0.41,0.31,0.39,0.33,0.37,0.33,0.58,0.58,0.443,0.435,0.197,0.471,0.23,0.02,0.16,0.33,0.14
2013-01-01 06:00:00,,0.234,,0.297,0.527,2.228,0.335,0.419,0.298,0.379,0.366,0.4,,0.436,0.3722,0.4436,0.4633,0.9439,0.4098,0.3849,0.2,,0.58,0.5,3.96,1.94,0.51,0.46,0.26,1.71,0.45,0.421,0.334,0.502,0.304,0.81,0.695,0.534,0.67,0.614,0.30646,,0.51685,0.2343,0.2516,0.2018,0.222,0.2752,0.3068,0.3386,0.2996,0.417,0.2509,,0.4588,0.793,0.535,0.29,0.44,,0.31,0.35,0.31,0.32,0.34,0.51,0.74,0.418,0.459,0.21,0.459,0.27,0.01,0.18,0.31,0.13
2013-01-01 07:00:00,,0.225,,0.283,0.539,1.404,0.319,0.338,0.276,0.359,0.425,0.412,,0.394,0.365,0.424,0.424,1.0204,0.5699,0.3599,0.19,,0.62,0.49,3.96,1.94,0.63,0.42,0.22,1.84,0.439,0.458,0.303,0.516,0.296,0.736,0.673,0.551,0.66,0.832,0.28458,,0.54561,0.2334,0.2514,0.2022,0.2289,,0.3314,0.3659,0.3198,0.4023,0.2704,,0.4863,0.795,0.506,,0.46,0.67,0.48,0.33,0.3,0.26,0.32,0.72,0.69,0.416,0.44,0.264,0.441,0.2,0.01,0.17,0.35,0.14
2013-01-01 08:00:00,,0.24,,0.303,0.494,0.648,0.305,0.361,0.256,0.34,0.421,0.382,,0.434,0.3614,0.351,0.4058,0.9373,0.6091,0.3238,0.21,,0.64,0.54,3.76,1.65,0.62,0.4,0.21,1.91,0.436,0.412,0.27,0.524,0.317,0.734,0.667,0.542,0.65,0.66,0.27318,,0.53063,0.2196,0.2528,0.1973,0.2275,0.2394,0.324,0.3885,0.3194,0.3917,0.2625,,0.5265,0.754,0.506,0.28,0.28,0.53,0.38,0.32,0.33,0.25,0.28,0.57,0.65,0.403,0.446,0.236,0.438,0.18,0.01,,0.35,0.12
