Kod stacji,DsCzerStraza,DsJelw05,MpKrakAlKras,MpKrakBulwar,MpKrakowWIOSPrad6115,MzBelsIGFPAN,PmGdaPoWie01,PmGdaKacze02,PmGdaWyzwo03,PmGdyPoreb04,PmSopBitPl06,PmTczeTarg07,PmGdaLeczk08,Pm.a09a,SlBytomByto_modrz,SlSosnoSosn_narut,WpKoniWyszyn
2000-01-01 01:00:00,,,,,,,25,,,,,,,,,,
2000-01-01 02:00:00,6,14,62,48,38,,24,27,13,11,13,7,11,10,55,55,
2000-01-01 03:00:00,3,12,56,47,37,,25,20,13,11,15,7,12,10,52,53,
2000-01-01 04:00:00,4,10,52,46,36,,26,21,14,11,16,7,15,11,50,51,
2000-01-01 05:00:00,3,10,53,43,35,,24,30,13,11,16,7,11,11,47,51,
2000-01-01 06:00:00,1,11,53,44,35,,26,27,14,13,16,8,11,12,45,51,
2000-01-01 07:00:00,1,10,54,44,36,,19,28,10,13,15,8,9,12,43,47,
2000-01-01 08:00:00,3,16,52,43,36,,18,26,9,12,15,7,8,10,42,51,
2000-01-01 09:00:00,3,15,53,41,34,,20,23,11,11,13,7,7,9,37,55,
2000-01-01 10:00:00,7,14,58,44,30,,22,23,12,10,12,6,7,8,,68,
2000-01-01 11:00:00,7,13,61,46,30,,23,23,12,9,10,7,7,9,46,75,
2000-01-01 12:00:00,9,13,69,37,29,,23,22,12,9,10,7,8,12,49,63,
2000-01-01 13:00:00,10,20,72,38,26,,24,23,13,10,10,8,7,11,55,64,
2000-01-01 14:00:00,9,23,88,41,39,,24,22,13,11,11,7,8,11,91,73,
2000-01-01 15:00:00,10,25,99,50,53,,32,29,17,14,12,8,11,13,98,80,
2000-01-01 16:00:00,7,25,111,73,65,,29,27,16,18,17,8,13,18,94,85,
2000-01-01 17:00:00,10,22,112,69,66,,35,27,19,19,20,9,17,21,85,77,
2000-01-01 18:00:00,11,21,104,66,59,,27,25,14,23,20,9,16,19,75,82,
2000-01-01 19:00:00,8,18,102,59,55,,38,26,20,24,23,9,16,22,68,74,
2000-01-01 20:00:00,9,18,99,60,54,,31,22,16,20,18,9,9,21,64,73,
2000-01-01 21:00:00,9,19,93,59,57,,33,19,18,16,19,10,9,15,63,68,
2000-01-01 22:00:00,15,19,85,58,55,,29,17,15,15,19,10,9,14,61,60,
2000-01-01 23:00:00,13,23,84,57,54,,33,19,17,15,17,11,9,17,58,58,
2000-01-02 00:00:00,14,25,76,55,51,,30,22,16,16,19,10,10,17,55,58,
2000-01-02 01:00:00,19,23,69,56,49,,28,21,15,14,20,11,11,14,53,59,
2000-01-02 02:00:00,20,23,68,51,47,,28,22,15,14,19,12,8,14,53,56,
2000-01-02 03:00:00,16,20,67,47,46,,27,23,14,12,19,12,8,12,52,56,
2000-01-02 04:00:00,10,20,65,44,46,,24,22,13,12,18,12,8,11,50,58,
2000-01-02 05:00:00,13,19,65,44,45,,25,22,13,14,17,11,8,11,49,57,
2000-01-02 06:00:00,13,19,62,43,44,,27,26,14,14,18,11,10,12,49,52,
2000-01-02 07:00:00,14,18,62,43,42,,31,28,17,,18,11,10,12,49,53,
2000-01-02 08:00:00,10,18,60,41,41,,32,30,17,14,19,12,10,13,44,53,
2000-01-02 09:00:00,5,13,54,33,35,,29,28,15,17,19,11,10,14,42,48,
2000-01-02 10:00:00,5,7,61,29,30,,25,28,13,17,17,11,11,13,42,50,
2000-01-02 11:00:00,3,7,64,28,34,,26,28,14,15,16,12,10,13,41,54,
2000-01-02 12:00:00,2,7,75,29,41,,26,25,13,18,16,12,10,13,45,61,
2000-01-02 13:00:00,1,7,92,36,49,,28,25,15,22,16,12,12,14,48,67,
2000-01-02 14:00:00,2,13,101,41,57,,28,27,15,17,16,13,11,16,51,69,
2000-01-02 15:00:00,3,12,102,56,60,,28,31,15,18,18,13,11,18,52,73,
2000-01-02 16:00:00,10,10,110,57,63,,32,29,17,12,17,13,11,14,55,70,
2000-01-02 17:00:00,17,10,96,65,62,,26,31,14,9,10,13,8,10,54,64,
2000-01-02 18:00:00,17,12,100,68,61,,24,23,13,8,9,11,7,8,53,55,
2000-01-02 19:00:00,11,11,98,65,59,,27,20,14,8,8,8,7,10,49,52,
2000-01-02 20:00:00,13,13,93,67,58,,30,19,16,7,8,,8,9,45,49,
2000-01-02 21:00:00,9,14,84,66,50,,21,20,11,7,8,10,7,8,44,53,
2000-01-02 22:00:00,4,15,74,59,40,,15,16,8,7,7,9,6,6,45,48,
2000-01-02 23:00:00,4,9,68,51,39,,16,16,9,7,7,8,5,6,45,46,
2000-01-03 00:00:00,6,15,60,43,30,,11,23,6,7,7,7,3,5,44,48,
2000-01-03 01:00:00,9,14,,,,,10,16,6,7,8,6,4,5,41,49,
2000-01-03 02:00:00,3,10,36,32,20,,9,20,5,6,8,7,4,5,41,46,
2000-01-03 03:00:00,4,10,27,22,18,,9,16,5,7,8,7,4,5,42,32,
2000-01-03 04:00:00,6,10,24,20,17,,9,13,5,6,8,7,3,5,35,34,
2000-01-03 05:00:00,5,11,29,17,14,,9,33,5,6,7,8,3,5,35,41,
