Kod stacji,DsCzerStraza,DsJelw05,MpKrakAlKras,MpKrakBulwar,MpKrakowWIOSPrad6115,MzBelsIGFPAN,MzWarszKrucza,PmGdaPoWie01,PmGdaKacze02,PmGdaWyzwo03,PmGdyPoreb04,PmGdaOstrz05,PmSopBitPl06,PmTczeTarg07,PmGdaLeczk08,Pm.a09a,SlBytomByto_modrz,SlSosnoSosn_narut
2001-01-01 01:00:00,2,2,,22,,,,11,33,,,5,11,7,10,8,16,28
2001-01-01 02:00:00,1,3,13,21,,8,,9,10,7,,5,12,7,7,6,19,25
2001-01-01 03:00:00,0,13,16,16,,6,,9,12,6,5,5,13,7,7,6,26,24
2001-01-01 04:00:00,1,,14,18,,6,,10,16,6,6,5,12,7,8,6,28,25
2001-01-01 05:00:00,3,6,13,26,,6,,11,14,6,6,4,11,8,9,7,16,34
2001-01-01 06:00:00,2,7,13,38,,4,,13,27,7,7,5,11,8,9,8,23,39
2001-01-01 07:00:00,2,6,16,53,,5,,15,30,7,8,5,11,9,11,7,26,32
2001-01-01 08:00:00,3,6,22,51,,4,,10,17,7,7,5,9,10,9,7,28,29
2001-01-01 09:00:00,0,6,39,41,,5,,11,6,6,6,5,9,10,9,6,26,36
2001-01-01 10:00:00,0,3,40,30,,4,,11,9,7,8,5,10,10,10,6,20,31
2001-01-01 11:00:00,0,4,25,20,,5,,12,7,7,9,6,12,9,12,8,18,27
2001-01-01 12:00:00,1,4,24,20,,6,,13,10,7,8,6,9,9,11,8,22,24
2001-01-01 13:00:00,2,4,19,19,,7,,12,7,10,8,6,8,9,11,8,23,34
2001-01-01 14:00:00,0,6,32,21,,8,,14,9,12,9,10,9,10,13,11,21,40
2001-01-01 15:00:00,0,9,30,31,,7,,17,9,13,11,12,11,18,13,17,33,54
2001-01-01 16:00:00,0,18,40,52,,6,,28,18,18,10,12,16,19,16,24,33,74
2001-01-01 17:00:00,1,31,38,73,,7,,24,12,22,19,7,16,14,13,23,45,81
2001-01-01 18:00:00,0,45,33,64,,8,,13,8,7,15,6,8,9,9,12,35,79
2001-01-01 19:00:00,1,21,37,58,,11,,11,5,19,8,6,8,9,7,9,35,71
2001-01-01 20:00:00,1,15,41,54,,13,,13,5,10,9,7,9,12,7,12,39,68
2001-01-01 21:00:00,2,10,41,53,,17,,13,5,11,15,9,10,13,8,13,39,70
2001-01-01 22:00:00,2,7,34,50,,18,,14,9,12,17,10,11,11,10,13,47,67
2001-01-01 23:00:00,2,5,21,50,,19,,13,10,12,17,12,12,12,11,13,50,65
2001-01-02 00:00:00,3,5,17,48,,16,,11,11,12,22,10,12,13,9,13,37,64
