Kod stacji,DsCzer02,DsJelw05,MpKrakowWIOSAKra6117,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,MzBelskIGFPAN,MzWarszKrucza,Pm.a01a,Pm.a02a,Pm.a03a,Pm.a04a,Pm.a05a,Pm.a06a,Pm.a07a,Pm.a08a,Pm.a09a,SlBytomByto_modrz,SlSosnoSosn_narut,SlUstroCies_sanat,WpKonin311009D009102,WpPila5710111
Wskaźnik,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2002-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,
2002-01-01 02:00:00,5,14,,8,,,19,16,,10,11,8,9,9,13,12,,18,7,,
2002-01-01 03:00:00,7,12,12,8,8,5,15,11,,7,5,7,9,9,9,11,,18,8,,
2002-01-01 04:00:00,9,11,26,13,12,5,15,12,,8,4,7,10,9,11,16,,20,7,,
2002-01-01 05:00:00,3,12,30,15,13,5,13,12,,6,4,6,9,8,12,14,,32,5,,
2002-01-01 06:00:00,1,12,25,14,15,5,15,12,,7,6,7,9,7,13,11,,37,7,,
2002-01-01 07:00:00,3,14,27,17,17,6,13,12,,6,5,6,8,9,9,10,,38,6,,
2002-01-01 08:00:00,8,18,22,16,16,3,13,11,,6,4,8,8,10,9,9,,38,6,,
2002-01-01 09:00:00,8,21,18,14,16,5,14,11,,6,4,7,7,7,,14,,24,5,,
2002-01-01 10:00:00,8,21,23,11,15,5,13,13,,10,3,8,8,8,11,8,,29,5,,
2002-01-01 11:00:00,8,22,13,11,12,4,13,15,,5,5,9,6,12,9,10,,31,4,,
2002-01-01 12:00:00,7,21,15,11,11,4,13,11,,6,7,9,5,9,9,8,,34,6,,
2002-01-01 13:00:00,7,22,17,12,13,2,14,12,,9,5,8,6,11,10,10,,32,8,,
2002-01-01 14:00:00,7,20,25,14,17,3,14,14,,12,6,8,7,14,8,11,,32,9,,
2002-01-01 15:00:00,9,20,38,20,20,3,14,10,,8,10,10,7,12,8,10,,34,9,,1
2002-01-01 16:00:00,10,19,40,24,22,4,22,11,,7,6,11,7,11,8,11,,35,8,,4
2002-01-01 17:00:00,10,20,37,23,23,7,20,11,,7,4,11,6,11,7,10,,40,7,,11
2002-01-01 18:00:00,9,21,38,22,22,7,21,12,,7,4,13,6,11,7,9,,42,5,,22
2002-01-01 19:00:00,5,20,37,22,20,3,19,10,,6,4,9,6,11,7,7,,52,4,,23
2002-01-01 20:00:00,3,20,37,18,20,3,18,9,,5,4,9,6,8,7,7,,57,5,,10
2002-01-01 21:00:00,4,22,25,15,13,5,17,9,,4,4,8,5,8,7,6,,49,6,,15
2002-01-01 22:00:00,5,24,29,,13,4,,8,,4,3,8,5,8,7,5,,38,5,,16
2002-01-01 23:00:00,5,24,26,15,15,2,,5,,4,3,7,5,10,6,5,,37,5,,15
2002-01-02 00:00:00,4,24,16,12,12,2,13,5,,4,3,7,5,8,6,5,,34,5,,10
