Kod stacji,DsBialka,DsBogChop,DsCzar07,DsCzer02,DsDzia01,DsGlogSikor,DsJasnaSport,DsJelw05,DsKromolin,DsLegSmok,DsLegZlotor,DsRadomierz,DsSnie04,DsSobczyce,DsWitka,DsWlen03,DsWrocGrun,DsWyszkow,DsZgorzOrz,KpBydgWarszawska,KpCiechoTezniowa,KpDAFRypinKOMES,KpTorunDziewulsk,KpTorunLotnisko,KpTorunOPSIS,KpWloclOpsis,KpWloclWSHE,KpZielBoryTuch,LdGajewWIOSAGajew,LdLodzWIOSACzernik,LdLodzWIOSARubinst,LdLodzWIOSAZachodn,LdPabianWIOSAKonstan,LdParzniWIOSAParznie,LdPiotrkWIOSABelzack,LdZgierzWIOSAMielcza,LuZgoraWIOS_AUT,MpKrakowWIOSAKra6117,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,MpNSaczWIOSPija6204,MpTarnowWIOSSoli6303,MpTrzebiWIOSPils0303,MpZakopaWIOSRown1701,MzBelskIGFPAN,MzGranicaKPN,MzLegionZegIMGW,MzPiastowPulask,MzPlockOpsis,MzPlockPKN,MzPlockPKN1,MzPlockPKN2,MzPlockPKN3,MzPlockReja,MzRadomPulask,MzRadomTochter,MzTluszczJKiel,MzWarNiepodKom,MzWarszBielany,MzWarszKrucza,MzWarszPorajow,MzWarszPuszSolska,MzWarszUrsynow,MzWarTarKondra,MzZyrardRoosevel,OpKkozleSP10,OpKkozleSP3,OpKkozleSP7,OpSkozleSP5,PdBialyMiejska,PdBialyPodmiejska,PdBorsuWiejska,Pm.63.wDSAa,Pm.a04a,Pm.a05a,Pm.a06a,Pm.a08a,SkChecBiaZag,SkKielTransp,SkMalogCemen,SkSwKrzyzZM,SlBytomByto_modrz,SlCzestCzes_arkra,SlDabroDabr_ziolo,SlGliwiGliw_kujaw,SlPiekaPiek_darwi,SlSosnoSosn_narut,SlUstroCies_sanat,SlWojkoBedz_pader,SlZabrzZabr_wolno,ZpGryfWiduchowa003,ZpSzczecinLukasza
Wskaźnik,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2,NO2
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2004-01-01 01:00:00,5.8,6,8,4,,5.1,6,8,0.4,4.9,4.7,2,7,4.91,7,28,9.2,6,11,0,11,,,2,17.7,7.4,20.1,,5,5,19,18,5,9,4,4,,25,22,23,24,,,24,,3,4,13,39.1,,9.9,,26.6,,13,21,7,53,13.3,,,,15,8,,17.7,13.15,18,25.75,,,,,6,8,26,46,,5,5,7,27,15,19,,,31,24,23,13,5,12
2004-01-01 02:00:00,6.9,6,8,3,,5.3,4,8,0.4,5.1,4.9,2,8,4.81,9,21,12.7,6,10,2,8,,,2,16.3,5.4,43.3,,5,2,13,15,4,12,2,3,,27,22,29,24,,,23,10,4,4,13,25.6,,9.4,,16.1,,14.6,20,8,70,11.5,,,,14,5,,17.25,11.6,16.15,24.6,,,,,6,9,21,,,5,2,7,27,13,19,,17,28,24,25,14,5,14
2004-01-01 03:00:00,7.1,6,6,4,,6,5,7,0.4,9.2,5.8,2,,5.86,7,20,10.4,7,11,2,8,,,3,15.5,,26.3,,5,4,15,18,5,13,2,3,,30,20,29,24,,,22,6,5,4,13,13.8,,9.1,,13.6,,14.9,,10,72,11.5,,,,13,6,7,17.2,11.5,16.35,20.45,,,,,6,16,29,28,,5,2,6,25,12,19,,15,,23,23,15,5,12
2004-01-01 04:00:00,6.9,6,6,4,,5.9,5,6,0.4,8,5,2,7,5.26,6,20,9,6,8,3,8,,,4,20.1,,35,,7,3,14,18,4,12,2,3,,34,16,27,23,,,21,3,6,4,12,36.7,,8,,11.9,,10.9,17,4,80,12.3,,,,24,5,8,15.9,10.95,15.2,23.2,,,,,7,19,21,20,,4,1,7,20,13,19,,12,,19,21,13,4,9
2004-01-01 05:00:00,6.6,6,6,3,,4.5,3,5,0.4,7.8,4.8,,8,4.16,5,19,10,6,13,2,9,,,10,22.1,,35.2,,7,2,13,17,4,7,3,2,,29,19,27,23,,,19,6,6,4,11,13.2,,8.6,,15.9,,12,17,4,63,11.8,,,,19,6,,13.1,8.85,12.75,17.35,,,,,10,17,34,31,,4,8,6,19,14,14,,11,,25,21,12,4,18
2004-01-01 06:00:00,7.1,7,6,3,,4.2,3,4,0.4,9,6.6,2,8,3.35,4,18,10.4,4,,3,11,,,4,23.1,,47.4,,9,2,16,19,5,9,4,4,,31,13,22,17,,,15,4,5,3,11,12.7,,7.9,,14.4,,10.5,19,4,49,10.7,,,,16,8,6,10.7,8.05,13.55,16.8,,,,,7,11,11,31,,5,10,6,18,15,16,,11,,23,20,11,4,16
2004-01-01 07:00:00,6.9,15,6,2,,3.8,2,4,0.4,6.3,6.9,2,8,3.15,4,18,6.9,3,7,3,10,,,4,17.5,,40.1,,9,3,14,19,5,5,6,3,,31,12,21,16,,,18,3,3,3,9,10.3,,6.9,,11.2,,11,16,3,57,11.5,,,,18,7,7,8.15,8.5,13.45,15.05,,,,,6,10,6,11,,5,12,5,20,15,17,,12,,21,22,,4,18
2004-01-01 08:00:00,4.4,13,5,0,,3.6,2,3,0.4,5.4,4.1,1,8,3.1,3,16,8.2,2,7,5,11,,,4,16,,39.1,,4,2,10,17,4,5,3,1,,36,12,16,17,,,19,5,2,4,10,12.5,,7.3,,11.2,,9,15,2,34,11.7,,,,13,8,7,8.65,7.45,11.25,14.6,,,,,3,17,6,12,,5,8,5,20,13,16,,13,,21,22,13,3,32
2004-01-01 09:00:00,3.7,11,6,1,,3.8,2,2,0.4,4.1,3.4,2,6,3,2,16,9.7,3,11,4,8,,,5,20.1,,39.3,,3,1,9,16,4,7,3,2,,33,12,19,13,,,13,5,1,3,11,27.4,,7.2,,18.9,,11.3,17,4,38,10.4,,,,10,8,10,10.5,5.75,9.15,15.1,,,,,4,6,4,9,,4,9,5,23,12,16,,13,,24,19,13,5,35
2004-01-01 10:00:00,3.9,21,6,2,,3.8,2,4,0.4,5.7,3.4,2,6,3,3,16,10.9,3,8,5,7,,,5,13.1,,41.4,,2,2,8,13,4,5,3,5,,28,10,18,12,,,11,3,2,2,10,40.1,,7.2,,19.9,,11.3,17,3,40,10.6,,,,13,6,9,8.95,5.25,9.55,15.95,,,,,2,11,4,8,,4,8,6,24,11,15,,13,,22,19,12,6,23
2004-01-01 11:00:00,4,11,4,1,,4.2,2,4,0.4,6.2,2.8,2,6,3.2,4,16,11.7,3,7,10,5,,,4,12.8,,38.5,,2,1,9,15,4,6,2,4,,35,11,16,9,,,14,4,2,2,11,18.4,,7.5,,23.5,,12.2,19,3,41,11.2,,,,14,7,7,9.5,5.5,9.4,15.85,,,,,2,6,3,10,,3,14,5,22,11,18,,13,,23,19,12,7,13
2004-01-01 12:00:00,3.9,22,4,2,,4.9,2,4,0.4,4.2,2.9,2,6,3.5,6,18,11.7,4,10,6,5,,,5,16.4,,39.5,,2,1,10,15,3,7,2,4,,44,10,18,9,,,13,4,2,3,11,17.7,,7.6,,10.1,,11.1,19,3,38,11.3,,,,16,7,6,11.1,3.55,6.8,16.9,,,,,2,4,3,11,,3,1,6,21,13,17,,13,,24,19,12,4,18
2004-01-01 13:00:00,4.2,23,6,2,,4,1,4,0.4,6.3,3.2,2,7,4.21,4,16,13.3,3,9,3,6,,,3,13.3,,41.2,,1,3,11,18,3,9,2,2,,47,13,22,11,,,15,2,2,4,14,21,,7.5,,10.4,,11,18,4,43,12.9,,,,17,,8,12.15,4.35,7.45,11.9,,,,,2,4,4,20,,4,4,6,21,13,17,,13,,24,20,12,6,10
2004-01-01 14:00:00,4.7,18,6,2,,3.8,1,6,0.4,10.5,4,2,6,3.6,5,16,11.9,5,7,2,6,,,3,13.5,,41.8,,2,0,10,17,3,9,2,5,,58,12,21,13,,,16,1,3,5,14,23.3,,7.1,,9.6,,10.7,22,6,48,13.3,,,,20,10,10,12,4.6,7.5,11.3,,,,,3,4,4,19,,4,3,6,23,13,19,,16,,28,19,12,4,5
2004-01-01 15:00:00,5.8,17,6,2,,3.6,2,4,0.4,10.7,4.6,2,7,3.45,7,18,16.1,5,13,4,6,,,3,15.1,,40.1,,2,1,14,16,3,8,4,7,,46,13,23,11,,,23,3,2,6,16,32.7,,7.8,,10.4,,9.3,20,8,61,15.5,,,,20,12,11,12.5,4.45,7.65,12.6,,,,,3,6,4,15,,4,14,5,23,15,19,,14,,25,22,12,6,8
