Kod stacji,DsCzerStraza,DsJelw05,MpKrakAlKras,MpKrakBulwar,MpKrakowWIOSPrad6115,MzBelsIGFPAN,PmGdaPoWie01,PmGdaKacze02,PmGdaWyzwo03,PmGdyPoreb04,PmSopBitPl06,PmTczeTarg07,PmGdaLeczk08,Pm.a09a,SlBytomByto_modrz,SlKatoKossut,SlSosnoSosn_narut,WpKoniWyszyn
2000-01-01 01:00:00,,,,,,,32,,,,,,,,,,,
2000-01-01 02:00:00,7,14,170,105,88,,33,28,25,12,14,16,12,13,244,,172,
2000-01-01 03:00:00,3,12,181,96,71,,34,20,25,12,16,16,14,13,224,,134,
2000-01-01 04:00:00,4,10,162,106,78,,32,22,26,12,17,16,17,14,179,,116,
2000-01-01 05:00:00,3,10,154,105,80,,32,31,34,12,17,16,14,14,123,,131,
2000-01-01 06:00:00,1,11,165,112,110,,32,28,32,14,17,16,13,16,91,,142,
2000-01-01 07:00:00,1,10,205,119,95,,24,29,31,14,17,16,11,14,93,,128,
2000-01-01 08:00:00,3,16,156,85,86,,24,27,30,13,16,16,10,13,92,,156,
2000-01-01 09:00:00,3,15,163,77,84,,23,24,30,12,15,16,9,12,85,,185,
2000-01-01 10:00:00,7,14,164,90,63,,28,24,30,11,14,16,9,10,,,188,
2000-01-01 11:00:00,7,13,140,84,62,,30,24,32,11,12,16,10,13,94,,164,
2000-01-01 12:00:00,11,13,196,59,55,,31,23,30,11,12,17,11,16,81,,116,
2000-01-01 13:00:00,12,21,183,56,45,,32,24,27,11,12,17,10,15,89,,119,
2000-01-01 14:00:00,11,25,244,56,63,,35,23,29,13,12,17,11,15,158,,137,
2000-01-01 15:00:00,11,27,264,67,78,,46,31,31,15,14,17,14,17,173,,164,
2000-01-01 16:00:00,8,26,451,138,123,,40,28,31,21,18,17,16,22,169,,201,
2000-01-01 17:00:00,10,22,648,166,231,,46,28,37,20,21,18,21,26,165,,141,
2000-01-01 18:00:00,11,21,443,206,163,,34,26,38,25,21,18,20,23,168,,188,
2000-01-01 19:00:00,8,18,410,138,143,,49,27,37,27,24,19,21,27,153,,187,
2000-01-01 20:00:00,9,18,450,130,143,,39,23,36,22,19,19,11,26,118,,200,
2000-01-01 21:00:00,9,19,355,109,113,,39,20,34,18,19,19,11,19,95,,204,
2000-01-01 22:00:00,15,19,257,101,99,,34,17,34,18,20,19,11,18,108,,210,
2000-01-01 23:00:00,13,23,266,80,102,,40,20,36,16,18,20,10,21,100,,140,
2000-01-02 00:00:00,14,25,222,70,92,,34,22,39,17,20,20,12,20,100,,156,
2000-01-02 01:00:00,20,23,126,63,76,,32,22,41,15,22,21,13,16,92,,106,
2000-01-02 02:00:00,20,23,128,55,67,,31,23,40,15,20,21,9,17,86,,101,
2000-01-02 03:00:00,16,20,107,50,62,,30,23,44,13,20,22,9,14,78,,95,
2000-01-02 04:00:00,10,20,103,45,63,,25,22,41,13,18,22,9,14,66,,99,
2000-01-02 05:00:00,13,19,111,45,62,,27,23,39,16,18,21,9,13,70,,89,
2000-01-02 06:00:00,13,19,120,44,56,,30,27,38,15,19,21,12,14,72,,75,
2000-01-02 07:00:00,14,18,122,45,54,,35,28,41,,19,20,11,14,73,,68,
2000-01-02 08:00:00,10,18,148,44,54,,38,30,,15,20,21,11,15,73,,83,
2000-01-02 09:00:00,5,13,158,44,61,,36,29,44,22,20,21,12,17,74,,81,
2000-01-02 10:00:00,5,7,251,44,50,,32,30,50,22,19,22,14,17,72,,95,
2000-01-02 11:00:00,3,7,222,47,70,,35,30,38,18,19,24,13,18,69,,109,
2000-01-02 12:00:00,2,7,284,47,101,,37,27,39,27,19,24,14,19,71,,123,
2000-01-02 13:00:00,1,7,403,56,119,,43,27,38,34,20,25,18,20,69,,122,
2000-01-02 14:00:00,2,13,405,57,148,,45,30,38,21,20,25,17,24,71,,137,
2000-01-02 15:00:00,3,12,425,96,178,,42,34,37,22,22,24,15,25,74,,155,
