Kod stacji,DsCzer02,DsJelw05,MpKrakowWIOSAKra6117,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,MzBelskIGFPAN,MzWarszKrucza,Pm.a01a,Pm.a02a,Pm.a03a,Pm.a04a,Pm.a05a,Pm.a06a,Pm.a07a,Pm.a08a,Pm.a09a,SlBytomByto_modrz,SlKatowKato_kossu,SlSosnoSosn_narut
Wskaźnik,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2001-01-01 01:00:00,2,2,,24,,,,14,42,,,7,13,14,11,20,22,26,34
2001-01-01 02:00:00,1,3,23,22,,8,,12,12,9,,7,14,14,9,17,24,17,35
2001-01-01 03:00:00,0,13,21,18,,6,,11,14,7,7,6,15,15,9,17,32,18,30
2001-01-01 04:00:00,1,,20,21,,6,,12,18,7,8,5,14,14,10,17,34,19,33
2001-01-01 05:00:00,3,6,22,31,,6,,13,16,8,8,5,13,15,10,19,21,23,50
2001-01-01 06:00:00,2,7,24,44,,4,,17,33,8,9,5,13,16,11,19,29,22,53
2001-01-01 07:00:00,2,6,32,89,,5,,21,37,9,10,6,13,16,12,18,32,23,41
2001-01-01 08:00:00,3,6,47,95,,5,,13,20,9,10,6,11,17,10,18,38,22,36
2001-01-01 09:00:00,0,6,117,76,,5,,14,8,8,7,6,11,17,10,17,37,26,53
2001-01-01 10:00:00,0,3,133,48,,5,,13,11,9,10,7,11,17,12,17,31,22,53
2001-01-01 11:00:00,0,4,80,32,,5,,16,9,9,11,8,14,17,14,20,30,28,45
2001-01-01 12:00:00,1,4,85,31,,7,,18,14,9,11,8,11,17,13,20,34,41,36
2001-01-01 13:00:00,2,4,77,30,,8,,16,10,14,10,9,11,16,13,21,33,48,49
2001-01-01 14:00:00,0,6,97,30,,8,,18,13,16,11,15,11,18,15,24,29,41,60
2001-01-01 15:00:00,0,9,99,47,,7,,22,12,16,14,14,13,26,15,30,43,36,73
2001-01-01 16:00:00,0,19,143,85,,6,,34,20,20,12,14,18,26,18,37,39,37,94
2001-01-01 17:00:00,1,34,137,165,,7,,28,13,25,21,8,18,22,15,35,52,65,153
2001-01-01 18:00:00,0,46,142,157,,9,,16,9,9,17,7,10,17,10,23,43,70,146
2001-01-01 19:00:00,1,21,135,144,,11,,13,6,23,10,7,9,17,9,20,41,46,165
2001-01-01 20:00:00,1,15,160,137,,13,,16,6,13,11,8,11,19,9,23,45,57,138
2001-01-01 21:00:00,2,10,176,130,,17,,15,6,13,18,10,11,20,10,24,48,69,126
2001-01-01 22:00:00,2,7,110,138,,19,,16,10,14,19,11,12,19,12,24,60,60,105
2001-01-01 23:00:00,2,5,54,168,,19,,15,11,14,18,12,14,19,13,24,63,77,104
2001-01-02 00:00:00,3,5,32,118,,16,,12,12,14,24,12,14,21,11,23,51,75,93
2001-01-02 01:00:00,,4,43,,,18,,14,11,16,19,12,14,18,11,20,57,66,69
2001-01-02 02:00:00,2,3,54,76,,18,,13,9,14,21,13,14,20,10,21,44,60,71
2001-01-02 03:00:00,2,3,55,56,,15,,15,15,17,19,17,16,24,11,23,30,60,102
2001-01-02 04:00:00,3,4,111,46,,13,,17,18,20,20,20,19,25,13,26,25,65,98
2001-01-02 05:00:00,4,4,102,39,,12,,17,19,22,21,23,22,25,14,29,24,47,91
2001-01-02 06:00:00,3,4,88,96,,11,,26,21,22,29,24,25,28,20,34,26,40,108
2001-01-02 07:00:00,3,5,198,119,,11,,30,22,25,36,22,24,29,23,36,28,41,227
2001-01-02 08:00:00,2,4,128,169,,10,,39,25,31,42,22,24,34,30,38,31,35,203
2001-01-02 09:00:00,4,6,116,150,,11,,41,26,29,44,23,25,33,31,38,35,40,166
2001-01-02 10:00:00,3,5,105,195,,12,,35,25,31,31,24,25,32,27,42,40,43,158
2001-01-02 11:00:00,3,6,76,112,,12,,37,26,43,43,24,29,34,25,46,38,47,160
2001-01-02 12:00:00,3,8,105,207,,12,,51,29,47,50,25,34,37,35,50,34,46,119
2001-01-02 13:00:00,6,9,123,99,,12,,63,31,52,44,25,37,39,34,58,39,45,98
2001-01-02 14:00:00,6,9,98,132,,11,,70,32,57,59,24,44,38,38,59,47,47,106
2001-01-02 15:00:00,6,10,155,235,,10,,63,31,50,78,28,42,38,34,58,43,45,99
2001-01-02 16:00:00,5,9,256,179,,13,,78,34,53,64,27,42,39,35,45,42,74,103
2001-01-02 17:00:00,6,12,340,130,,16,,63,31,55,52,24,40,46,41,43,28,49,69
2001-01-02 18:00:00,7,11,406,184,,17,,77,29,55,67,27,47,42,42,51,23,39,75
2001-01-02 19:00:00,6,9,422,357,,17,,71,28,56,63,24,51,36,80,48,26,30,68
2001-01-02 20:00:00,4,11,399,332,,16,,49,27,57,51,25,42,36,46,45,32,28,87
2001-01-02 21:00:00,4,8,336,365,,16,,66,26,51,28,26,29,35,64,42,33,32,66
2001-01-02 22:00:00,4,7,285,372,,15,,49,25,33,51,26,38,33,55,42,24,34,50
2001-01-02 23:00:00,4,7,273,293,,15,,52,27,48,41,20,,32,38,38,18,21,46
2001-01-03 00:00:00,5,7,229,242,,15,,47,24,61,25,21,25,31,50,34,18,25,46
2001-01-03 01:00:00,3,7,,238,,16,,21,23,48,27,19,24,30,26,33,19,25,42
2001-01-03 02:00:00,4,8,111,238,,16,,19,22,32,22,18,25,30,19,30,29,26,50
2001-01-03 03:00:00,4,6,110,233,,15,,23,23,32,20,23,,30,16,29,27,28,65
2001-01-03 04:00:00,3,6,113,157,,17,,26,24,41,20,23,21,29,23,31,25,23,64
2001-01-03 05:00:00,3,6,134,196,,17,,26,24,35,22,21,23,28,25,32,30,36,82
2001-01-03 06:00:00,4,5,199,210,,17,,33,26,35,26,24,24,30,29,40,39,46,144
2001-01-03 07:00:00,3,7,330,258,,19,,42,29,26,35,28,27,35,51,40,44,66,167
2001-01-03 08:00:00,2,9,406,260,,21,,56,32,45,34,25,33,43,46,42,46,,224
2001-01-03 09:00:00,3,12,473,239,,24,,63,31,50,44,25,42,77,40,49,47,120,228
2001-01-03 10:00:00,5,12,453,270,,24,,55,30,40,38,24,30,52,29,41,41,88,224
2001-01-03 11:00:00,4,12,638,287,,24,,47,33,46,36,23,38,46,30,46,44,73,218
2001-01-03 12:00:00,5,15,497,322,,21,,47,38,56,40,25,41,49,28,60,39,44,193
2001-01-03 13:00:00,5,20,435,341,,23,,55,35,60,41,27,50,79,37,46,41,45,164
2001-01-03 14:00:00,5,25,444,188,,26,,64,47,61,44,30,54,52,38,42,40,52,216
2001-01-03 15:00:00,5,24,472,242,,28,,68,38,71,37,31,50,54,42,43,48,83,174
2001-01-03 16:00:00,8,25,588,219,,30,,72,45,65,39,48,45,62,43,52,54,48,124
2001-01-03 17:00:00,13,32,591,168,,30,,58,41,67,35,40,31,61,52,47,57,49,150
2001-01-03 18:00:00,13,48,650,158,,32,,102,40,85,35,33,35,,88,57,46,46,159
2001-01-03 19:00:00,11,48,413,115,,32,,77,38,60,83,32,49,48,100,56,44,60,141
2001-01-03 20:00:00,8,47,332,96,,31,103,99,37,56,53,34,90,46,100,57,57,64,126
2001-01-03 21:00:00,7,38,539,129,,31,100,94,36,65,70,42,75,46,102,59,63,57,105
2001-01-03 22:00:00,7,51,349,108,,25,109,95,34,,42,28,53,45,101,51,72,54,105
2001-01-03 23:00:00,9,61,235,85,,26,111,53,33,,,32,71,48,76,55,62,52,78
2001-01-04 00:00:00,10,57,155,46,,25,96,42,36,,35,20,49,42,58,45,59,41,69
2001-01-04 01:00:00,6,38,,,,23,70,34,32,,,19,29,35,34,33,48,38,64
2001-01-04 02:00:00,8,28,43,26,,21,59,18,27,,16,19,23,38,20,28,46,39,57
2001-01-04 03:00:00,8,25,53,23,,20,55,18,27,,16,24,22,36,18,26,47,36,62
