Kod stacji,KpBydWarszaw,MpKrakBulwar,MpKrakowWIOSPrad6115,PkJasloWIOSFabr,PkPrzemyslWIOSMick,Pm.a09a,WpPoznPolank,ZpSzczPils02
2008-01-01 01:00:00,139.6,95,89,82.76,79.71,37.5,34.4,36
2008-01-01 02:00:00,77.3,91,71,83.71,124.99,71.8,45.7,51
2008-01-01 03:00:00,28,80,66,90.88,77.35,79.6,45.2,86
2008-01-01 04:00:00,16,69,52,90.09,75.22,51.9,42.7,87
2008-01-01 05:00:00,20,64,58,90.96,76.39,25.3,40.3,62
2008-01-01 06:00:00,17.3,60,74,91.76,131.06,24.8,28.2,33
2008-01-01 07:00:00,14.4,61,78,88.31,124.75,21.7,27.9,18
2008-01-01 08:00:00,20.1,60,81,101.73,95.32,30.5,26.1,10
2008-01-01 09:00:00,20.5,73,52,126.14,94.66,28,27.4,7
2008-01-01 10:00:00,25.6,57,26,121.52,81.74,28.1,33.5,5
2008-01-01 11:00:00,40.3,34,27,115.34,78.99,26.2,33.4,6
2008-01-01 12:00:00,41.4,24,28,99.29,79.01,21.8,33,9
2008-01-01 13:00:00,55.5,34,23,86.39,69.69,19.4,34.1,9
2008-01-01 14:00:00,45.7,30,26,97.39,98.81,18.8,39.3,10
2008-01-01 15:00:00,64.8,39,26,97.39,94.9,17.1,40.2,15
2008-01-01 16:00:00,55.6,47,44,97.5,79.32,16.4,44.7,21
2008-01-01 17:00:00,49.7,64,61,75.83,57.54,26.2,44.5,18
2008-01-01 18:00:00,36.6,51,42,50.64,58.06,33.8,43.4,14
2008-01-01 19:00:00,32.8,52,53,70.64,76.99,31.6,44.1,18
2008-01-01 20:00:00,36.9,60,51,71.42,30.94,45.5,47.4,19
2008-01-01 21:00:00,39.3,58,45,53.33,25.9,41.7,46.1,19
2008-01-01 22:00:00,52.3,52,47,43.12,24.92,32,38.9,20
2008-01-01 23:00:00,50.3,47,43,42.84,24.98,30,41.5,16
2008-01-02 00:00:00,42.5,39,41,36.34,23.38,28.3,54.7,17
2008-01-02 01:00:00,39.8,41,31,23.65,24.79,26.9,55,19
2008-01-02 02:00:00,34.2,37,23,22.57,35.07,23.5,56.3,21
2008-01-02 03:00:00,22.5,33,18,21.92,32.21,13.3,55.7,19
2008-01-02 04:00:00,10.9,41,16,20.58,30.33,13.5,52.6,19
2008-01-02 05:00:00,7.6,40,18,17.44,27.43,16.3,54.6,20
2008-01-02 06:00:00,8.5,30,17,18.06,29.94,14,64.4,19
2008-01-02 07:00:00,8.5,31,17,23.64,29.16,13.2,62.4,21
2008-01-02 08:00:00,8.8,43,19,27.21,38.02,20,52.5,29
2008-01-02 09:00:00,19.7,32,22,27.4,43.03,23.5,50.6,35
2008-01-02 10:00:00,30.7,28,21,24,49.81,19.2,41,31
2008-01-02 11:00:00,28,26,22,36.11,50.54,13.4,41.6,31
2008-01-02 12:00:00,18.7,28,23,24.73,43.23,12.5,44.5,42
2008-01-02 13:00:00,22.7,31,24,26,41.49,9.6,41.6,39
2008-01-02 14:00:00,18.2,33,23,26.3,40.78,7.7,27.5,33
2008-01-02 15:00:00,20.8,33,20,26.55,61.65,5.8,29.6,25
2008-01-02 16:00:00,23.6,38,21,27.51,54.24,3.6,40,21
2008-01-02 17:00:00,32.6,34,23,31.16,71.11,7.7,40.1,32
2008-01-02 18:00:00,38.8,25,25,33.78,60.22,6.8,40.9,33
2008-01-02 19:00:00,20.1,40,30,39.64,49.3,8.6,39.6,26
2008-01-02 20:00:00,26.7,52,39,34.47,53.65,7.2,33.1,28
2008-01-02 21:00:00,23.2,57,42,30.9,49.78,6.7,33.1,28
2008-01-02 22:00:00,21,43,32,29.23,54.99,9.7,33.5,30
2008-01-02 23:00:00,16.7,53,31,30.8,52.76,8.4,33.1,28
2008-01-03 00:00:00,18.4,60,29,33.32,53.9,8.4,31.2,17
2008-01-03 01:00:00,16.2,50,28,30.81,48.41,5.7,31.6,18
2008-01-03 02:00:00,14.8,42,28,29.99,47.71,8.3,33.3,21
2008-01-03 03:00:00,13.5,43,28,34.13,38.44,10.9,33.5,16
2008-01-03 04:00:00,10.2,51,29,37.2,48.03,13,34.5,24
2008-01-03 05:00:00,9.2,75,27,45.58,41.99,8.8,33.6,27
2008-01-03 06:00:00,10.7,56,29,53.72,34.52,11,28.7,22
2008-01-03 07:00:00,13,62,29,57.61,39.43,8.7,30.2,28
2008-01-03 08:00:00,15.4,64,31,55.73,34.1,10.2,37.6,38
2008-01-03 09:00:00,26.2,58,39,55.59,36.25,11.8,39.3,37
2008-01-03 10:00:00,33.9,47,39,64.72,37.48,10,48,36
2008-01-03 11:00:00,32.3,57,40,52.52,38.33,10.4,47.5,42
2008-01-03 12:00:00,30.5,61,39,45.99,46.08,8.1,44.8,39
2008-01-03 13:00:00,31.5,58,42,48.89,44.11,16.3,45.7,36
2008-01-03 14:00:00,33.5,42,37,40.8,45.87,14.7,49.7,33
2008-01-03 15:00:00,34.6,47,33,36.53,53.63,20,48.9,38
2008-01-03 16:00:00,33.4,45,35,40.11,60.81,19.5,44.6,42
2008-01-03 17:00:00,32.5,54,36,41.19,58.45,18,45.1,39
2008-01-03 18:00:00,33.1,54,39,43.04,58.64,18.9,47.7,38
2008-01-03 19:00:00,32.2,64,42,45.13,52.97,14.9,48.2,42
2008-01-03 20:00:00,28.3,71,42,47.38,52.8,11.8,50.6,43
2008-01-03 21:00:00,20.9,82,42,48.7,47.83,11.3,51.3,38
2008-01-03 22:00:00,20.2,70,38,45.99,41.58,15.5,55,39
2008-01-03 23:00:00,18.9,65,34,47.32,39.16,11.2,54.4,40
2008-01-04 00:00:00,16.3,64,31,51.59,35.32,10.6,51.3,40
2008-01-04 01:00:00,12.4,69,27,48.86,35.79,7.1,51.3,43
2008-01-04 02:00:00,9.3,65,25,38.19,30.32,9.2,51.1,42
2008-01-04 03:00:00,5.8,60,24,38.1,29.12,13.2,48.9,38
2008-01-04 04:00:00,6.1,69,22,35.95,24.31,14.4,37.9,41
2008-01-04 05:00:00,5.9,69,21,32.78,31.12,10.3,36.6,37
2008-01-04 06:00:00,6.2,62,20,30.64,32.38,11.7,30.1,29
2008-01-04 07:00:00,9.6,40,20,31.6,32.13,14.2,29,26
2008-01-04 08:00:00,12.4,53,23,34.71,35.31,13.7,23.3,29
2008-01-04 09:00:00,13.9,62,27,40.4,36.08,16.2,24.1,27
2008-01-04 10:00:00,24.8,52,29,44.46,36.84,15.9,28.1,24
2008-01-04 11:00:00,27.7,54,30,41.69,50.73,12.5,28.1,32
2008-01-04 12:00:00,29.5,47,33,44.5,46.72,13.8,28.2,31
2008-01-04 13:00:00,30.9,50,33,43.13,42.03,13,28.2,24
2008-01-04 14:00:00,28.4,47,33,47.48,38.1,19.4,28.3,25
2008-01-04 15:00:00,26.1,50,35,49.83,40.5,13.8,28.2,28
2008-01-04 16:00:00,28.2,51,37,65.77,52.25,20.1,27.4,31
2008-01-04 17:00:00,28,50,39,75.66,54.82,20.5,28.5,25
2008-01-04 18:00:00,31.2,52,39,56.6,49.79,18.3,34.2,25
2008-01-04 19:00:00,29.1,56,40,56.57,49.12,21.2,35.4,31
2008-01-04 20:00:00,28.5,48,42,57.82,51.4,22.9,41.9,26
2008-01-04 21:00:00,27.4,44,44,58.4,51.71,25.8,40.4,31
2008-01-04 22:00:00,23.3,43,44,62.8,47.33,28.7,32.2,38
2008-01-04 23:00:00,17.9,42,46,62.7,53.19,26.8,32.5,31
2008-01-05 00:00:00,18.1,43,44,57.64,48.3,29.1,33.9,33
2008-01-05 01:00:00,15.8,41,41,53.74,50.91,28.6,33.5,37
2008-01-05 02:00:00,13.6,50,39,49.84,52.13,32.6,31.2,40
2008-01-05 03:00:00,13.5,63,36,36.37,46.38,24.4,32,42
2008-01-05 04:00:00,13.6,50,32,19.41,49.28,26.6,35.7,36
2008-01-05 05:00:00,13.6,54,30,16.03,54.53,23,35,33
2008-01-05 06:00:00,12.7,37,30,16.88,59.81,18.6,31,38
2008-01-05 07:00:00,14.8,47,29,20.26,52.17,16.7,32.4,44
2008-01-05 08:00:00,15.8,74,33,22.49,48.28,20.9,39.4,46
2008-01-05 09:00:00,21.3,84,39,25.77,57.17,24.3,39.1,46
2008-01-05 10:00:00,43.2,59,59,26.72,59.3,26,37.3,44
2008-01-05 11:00:00,59,65,61,28.23,65.17,22.6,37,42
2008-01-05 12:00:00,45.9,66,59,29.75,72.3,29.1,35.2,41
2008-01-05 13:00:00,43.8,82,65,22.75,79.21,25.7,36.3,44
2008-01-05 14:00:00,47.8,74,86,22.01,94.75,22.3,41.5,42
2008-01-05 15:00:00,48.2,93,97,19.59,82.51,27.9,41.4,42
2008-01-05 16:00:00,51,70,107,19.39,94.64,29.3,40.9,47
2008-01-05 17:00:00,50.9,76,83,21.02,102.38,29.3,40.4,58
2008-01-05 18:00:00,49,96,67,23.7,134.2,34.6,38,59
2008-01-05 19:00:00,52.8,78,74,23.82,130.54,30.3,40.6,50
2008-01-05 20:00:00,45,61,55,26.96,107.28,28.5,53.9,51
2008-01-05 21:00:00,37.5,47,53,22.63,79.88,28.2,56.4,51
2008-01-05 22:00:00,40.4,22,41,19.03,82.33,30.4,68.6,47
2008-01-05 23:00:00,34.6,19,40,20.96,81.35,24.2,67.3,43
2008-01-06 00:00:00,34.6,17,33,18.53,69.92,22.7,61,51
2008-01-06 01:00:00,31.3,13,27,21.5,64.38,22.9,60,45
2008-01-06 02:00:00,32.2,11,19,18.92,62.73,32.3,54.7,38
2008-01-06 03:00:00,32.9,11,15,14.57,63.3,35.5,53.2,42
2008-01-06 04:00:00,31.4,9,11,13.53,63.67,31.9,45.5,39
2008-01-06 05:00:00,32.3,9,10,15.6,65.2,32.4,45,42
2008-01-06 06:00:00,26.4,7,9,11.11,69.39,32.1,42.2,46
2008-01-06 07:00:00,33.7,9,10,10.6,71.19,28.6,41.8,46
2008-01-06 08:00:00,32.6,10,10,12.28,68.83,27.3,39.5,49
2008-01-06 09:00:00,37.6,14,12,15.84,70.78,27.7,39,37
2008-01-06 10:00:00,64.8,16,16,15.47,77.73,29.9,35.9,36
2008-01-06 11:00:00,91.1,22,20,15.04,82.23,27.3,37.1,40
2008-01-06 12:00:00,103.7,38,26,16.14,97.65,33.3,43.8,47
2008-01-06 13:00:00,96.4,33,33,16.25,99.34,32.4,45.4,60
2008-01-06 14:00:00,79.4,30,57,11.57,84.94,29.5,53.8,64
2008-01-06 15:00:00,73.3,,75,8.92,94.45,33.3,53.5,58
2008-01-06 16:00:00,73.5,,73,8.67,94.49,32.3,51.4,60
2008-01-06 17:00:00,56.9,,103,9.15,103.27,29.4,54.3,
2008-01-06 18:00:00,67.4,,91,10.58,115.5,28.9,69.4,
2008-01-06 19:00:00,63.8,,88,40.2,115.89,30.3,68.7,
2008-01-06 20:00:00,65.7,,74,14.58,125.72,30.7,64.5,
2008-01-06 21:00:00,42.9,,29,8.26,130.25,31.4,63.3,
2008-01-06 22:00:00,43.2,,27,10.8,96.54,37.1,56.5,57
2008-01-06 23:00:00,63.1,,27,13.41,85.53,36.3,55.4,50
2008-01-07 00:00:00,60.3,,28,21.87,79.67,41.3,49.6,42
2008-01-07 01:00:00,59,,28,14.22,76.86,46.7,47.1,42
2008-01-07 02:00:00,49.4,,27,12.02,85.32,58.2,33.7,44
2008-01-07 03:00:00,43.9,,25,14.84,84.42,48.1,34,34
2008-01-07 04:00:00,38.9,,24,13.87,109.56,43,35.6,24
2008-01-07 05:00:00,24.8,,21,18.54,109.51,41.7,34.4,26
2008-01-07 06:00:00,21,,21,23.32,102.58,43.6,28.3,28
2008-01-07 07:00:00,26,,21,15.86,116.77,40.8,27.1,28
2008-01-07 08:00:00,26.5,,24,28.15,155.17,40.1,21,24
2008-01-07 09:00:00,37.3,,28,44.02,101.16,34.3,22.2,15
2008-01-07 10:00:00,69.3,,32,42.74,77.39,34.3,28,12
2008-01-07 11:00:00,56.9,,42,31.73,95.49,40.2,26.7,17
