Kod stacji,DsWrocWybCon,KpBydWarszaw,LdLodzCzerni,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBulwar,MpKrakowWIOSPrad6115,MzWarWokalna,OpKKozBSmial,PdBialWaszyn,PkJasloWIOSFabr,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,SlGliwicMewy,SlKatoKossut,SlZabSkloCur,WmOlsPuszkin,WpPoznPolank,WpKaliSawick,ZpSzczAndr01,ZpSzczPils02
2009-01-01 01:00:00,,,,,,,295,258,,,,34.2,472.7,,,,54,,217.1,,,327
2009-01-01 02:00:00,,,,,,,146,120,,,,33.1,386.9,,,,27,,209.2,,,274
2009-01-01 03:00:00,,,,,,,92,64,,,,31.2,407.4,,,,25,,190.9,,,203
2009-01-01 04:00:00,,,,,,,55,47,,,,29.7,391.1,,,,20,,171.8,,,168
2009-01-01 05:00:00,,,,,,,55,40,,,,27.4,376.9,,,,19,,127.6,,,123
2009-01-01 06:00:00,,,,,,,51,36,,,,28,361.3,,,,21,,119.9,,,106
2009-01-01 07:00:00,,,,,,,43,35,,,,27.2,281.3,,,,20,,102,,,98
2009-01-01 08:00:00,,,,,,,39,31,,,,30.2,68.7,,,,22,,97.4,,,77
2009-01-01 09:00:00,,,,,,,36,29,,,,42.2,52.6,,,,25,,86.9,,,54
2009-01-01 10:00:00,,,,,,,34,29,,,,45.8,49.8,,,,29,,83.4,,,51
2009-01-01 11:00:00,,,,,,,31,30,,,,36.9,61.7,,,,37,,75.4,,,49
2009-01-01 12:00:00,,,,,,,35,31,,,,35.3,61.6,,,,38,,79.8,,,36
2009-01-01 13:00:00,,,,,,,36,34,,,,40.9,75.9,,,,35,,89.8,,,47
2009-01-01 14:00:00,,,,,,,40,39,,,,48.1,75.3,,,,37,,90.6,,,42
2009-01-01 15:00:00,,,,,,,42,41,,,,66.6,78.2,,,,33,,92.5,,,43
2009-01-01 16:00:00,,,,,,,45,45,,,,83.8,73.8,,,,34,,92.5,,,50
2009-01-01 17:00:00,,,,,,,52,55,,,,77.9,79.8,,,,34,,92.4,,,55
2009-01-01 18:00:00,,,,,,,56,58,,,,61.3,95.2,,,,41,,89.1,,,50
2009-01-01 19:00:00,,,,,,,59,62,,,,67.4,92.4,,,,47,,81.3,,,49
2009-01-01 20:00:00,,,,,,,61,67,,,,70.7,87.1,,,,51,,74.9,,,64
2009-01-01 21:00:00,,,,,,,63,67,,,,78.3,76.2,,,,43,,63.8,,,51
2009-01-01 22:00:00,,,,,,,68,70,,,,78.2,77.7,,,,32,,62.1,,,45
2009-01-01 23:00:00,,,,,,,73,76,,,,77.2,90.7,,,,30,,58,,,38
2009-01-02 00:00:00,,,,,,,79,84,,,,76.2,81.9,,,,29,,52.2,,,63
2009-01-02 01:00:00,,,,,,,84,88,,,,75.8,86,,,,27,,38.5,,,65
2009-01-02 02:00:00,,,,,,,85,87,,,,77.7,92.4,,,,29,,36.5,,,49
2009-01-02 03:00:00,,,,,,,85,87,,,,79.1,75.8,,,,30,,31.8,,,55
2009-01-02 04:00:00,,,,,,,86,86,,,,82.2,73.7,,,,26,,32.6,,,44
2009-01-02 05:00:00,,,,,,,83,84,,,,81.9,72.3,,,,26,,34.5,,,34
2009-01-02 06:00:00,,,,,,,82,86,,,,81.3,85.6,,,,25,,32.6,,,21
2009-01-02 07:00:00,,,,,,,76,81,,,,93.3,100.1,,,,29,,28.1,,,27
2009-01-02 08:00:00,,,,,,,76,82,,,,91.4,107,,,,27,,29.3,,,52
2009-01-02 09:00:00,,,,,,,75,79,,,,106.6,123.6,,,,28,,32,,,58
2009-01-02 10:00:00,,,,,,,70,74,,,,89.4,121.5,,,,26,,34.1,,,53
2009-01-02 11:00:00,,,,,,,68,72,,,,90.8,119.6,,,,26,,39,,,57
2009-01-02 12:00:00,,,,,,,66,71,,,,87.5,110.8,,,,26,,43.8,,,38
2009-01-02 13:00:00,,,,,,,67,72,,,,83.3,113.2,,,,23,,54.6,,,26
2009-01-02 14:00:00,,,,,,,72,73,,,,83.4,124,,,,23,,54.3,,,22
2009-01-02 15:00:00,,,,,,,51,56,,,,90.4,133.7,,,,12,,53.6,,,12
2009-01-02 16:00:00,,,,,,,39,50,,,,97.9,146.5,,,,10,,54.6,,,12
2009-01-02 17:00:00,,,,,,,39,56,,,,88,178.9,,,,16,,56.7,,,18
2009-01-02 18:00:00,,,,,,,35,54,,,,51.5,141.1,,,,12,,56.8,,,29
2009-01-02 19:00:00,,,,,,,33,52,,,,49.2,112.8,,,,12,,57,,,29
2009-01-02 20:00:00,,,,,,,30,46,,,,40.6,88.7,,,,10,,56,,,19
