Kod stacji,DsWrocWybCon,KpBydWarszaw,KpToruDziewu,LdLodzCzerni,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakowWIOSPrad6115,OpKKozBSmial,PdBialWaszyn,PkJasloSikor,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,PmGdaLeczk08,SkKielJagiel,SlGliwicMewy,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,WpKaliSawick,ZpSzczAndr01,ZpSzczPils02
2010-01-01 01:00:00,87,,51,34,41,29,103,,63,65,105,64,17.6,83.1,92,230.5,,155,101,102.3,26.4,,,38
2010-01-01 02:00:00,60,,59,83,24,36,88,,58,55,,142,14.4,62.3,107,262.1,,122,106,214.9,26.4,,,21
2010-01-01 03:00:00,52,,29,32,23,29,74,,65,46,,43,15.2,74.1,83,242.8,,88,80,82.5,33.8,,,13
2010-01-01 04:00:00,52,,17,35,19,34,69,,47,39,98,30,17.2,69.2,73,172.8,,89,66,50,34.3,,,14
2010-01-01 05:00:00,52,,15,31,16,32,69,,45,33,,26,15.2,59.6,67,147.1,,69,57,34.6,19.5,,,22
2010-01-01 06:00:00,44,,16,27,16,28,67,,48,36,,21,27.2,67.8,68,75.8,,67,63,34.6,18.4,,,12
2010-01-01 07:00:00,43,,11,27,15,31,72,,46,36,98,15,31.4,60.2,66,71.4,,63,60,32.1,20.8,,,14
2010-01-01 08:00:00,47,,11,22,15,31,73,,47,34,110,12,26.4,52.4,56,62.4,,74,59,22.4,20.9,,,9
2010-01-01 09:00:00,45,,15,29,15,29,71,,50,36,116,17,35.2,60.9,52,39.3,,74,62,13.7,21,,,19
2010-01-01 10:00:00,47,,15,24,26,26,63,,52,39,112,13,65.5,58,52,60.2,,80,89,16.5,21,,,12
2010-01-01 11:00:00,47,,13,31,23,28,67,,63,41,109,15,48.5,51.5,60,39.2,,89,75,13.5,23.9,,,7
2010-01-01 12:00:00,54,,19,23,25,23,80,,59,52,94,11,38.8,38.9,73,3.1,,122,97,18.7,24.1,,,9
2010-01-01 13:00:00,57,,19,33,30,20,99,,59,61,102,9,37.8,42.1,80,3.9,,127,118,15.7,13.5,,,15
2010-01-01 14:00:00,61,,22,34,33,22,95,,63,73,98,9,47.9,45.9,79,3.5,,121,157,16.3,12.7,,,11
2010-01-01 15:00:00,61,,21,38,33,27,98,,73,69,96,10,74.2,62.3,82,5.5,,112,159,12.2,14.6,,,15
2010-01-01 16:00:00,57,,22,37,31,22,108,,100,93,76,9,76.6,87.2,86,7.4,,94,157,12.2,14.7,,,13
2010-01-01 17:00:00,56,,20,34,31,22,116,,93,101,56,8,77.6,78.5,85,6,,63,114,20.9,17.3,,,24
2010-01-01 18:00:00,54,,24,33,36,22,136,,109,111,54,11,73.8,67.8,69,5.4,,48,89,12.1,17.4,,,13
2010-01-01 19:00:00,54,,21,37,27,42,149,,111,111,52,13,67.6,55,63,3.7,,47,90,12.4,20.1,,,9
2010-01-01 20:00:00,55,,22,36,28,24,157,,73,96,50,20,57.5,61.7,66,5.4,,48,77,12.7,20.2,,,17
2010-01-01 21:00:00,63,,23,38,28,37,171,,62,94,58,20,58,56.1,73,7.7,,46,72,10.8,18,,,15
2010-01-01 22:00:00,63,,20,34,25,38,181,,54,101,59,13,57.5,56.2,73,7.6,,44,80,19.5,17.8,,,17
2010-01-01 23:00:00,61,,22,39,33,36,196,,48,,55,13,63.5,60.6,71,5.1,,45,67,18.8,29.2,,,11
2010-01-02 00:00:00,61,,23,39,28,37,217,,53,,56,17,71,60.9,72,4.5,,45,55,14.8,30,,,25
2010-01-02 01:00:00,46,,32,34,24,39,168,,39,,51,12,72.2,47.1,68,3.4,,47,55,14.8,20.6,,,13
2010-01-02 02:00:00,49,,26,30,23,25,56,,33,41,49,13,73.6,32.2,64,5.3,,48,62,16.3,19.9,,,9
2010-01-02 03:00:00,49,,25,32,19,23,51,,38,39,51,12,50.8,27.9,64,4.3,,42,65,14.1,28.3,,,6
2010-01-02 04:00:00,49,,17,25,16,17,58,,46,50,56,7,45.5,27.2,56,3.5,,44,62,12.6,28.9,,,4
2010-01-02 05:00:00,42,,14,27,14,21,64,,52,58,52,8,50.4,27.8,56,4.1,,46,61,15.5,17.4,,,11
2010-01-02 06:00:00,41,,25,28,15,22,72,,48,58,52,12,62.5,30.6,64,5.2,,43,55,20.3,16.5,,,21
2010-01-02 07:00:00,41,,16,32,17,15,66,,37,55,45,13,67.8,29.1,67,6.3,,39,48,121,14.7,,,14
2010-01-02 08:00:00,41,,16,29,21,16,56,,39,56,46,13,74.8,30.5,67,7,,39,42,13.5,14.6,,,14
2010-01-02 09:00:00,33,,22,27,24,11,55,,40,63,45,16,53.8,33.6,65,9,,44,43,15.2,10,,,24
2010-01-02 10:00:00,32,,19,29,24,11,68,,51,60,48,15,53.8,32.2,76,9.2,,49,60,17.4,9.6,,,29
2010-01-02 11:00:00,41,,18,29,44,19,67,,50,51,44,19,42.2,37.7,70,12.5,,50,58,22.8,18.3,,,26
2010-01-02 12:00:00,41,,19,28,54,26,62,,44,52,46,13,54.8,39.7,68,11.8,,40,56,22.8,18.9,,,40
2010-01-02 13:00:00,37,,21,24,40,16,50,,40,42,39,14,60.2,46.9,68,7.4,,36,55,21,25.5,,,33
2010-01-02 14:00:00,28,,24,23,34,9,56,,41,42,36,18,40.8,66.9,75,8.3,,37,52,21.7,26,,,28
2010-01-02 15:00:00,27,,29,29,37,15,61,,42,37,34,18,45.2,79.1,68,8.2,,33,45,18,21.9,,,15
2010-01-02 16:00:00,30,,21,24,48,42,65,,42,43,39,23,46.9,74.4,65,8.5,,39,52,15.4,21.6,,,22
2010-01-02 17:00:00,32,,21,29,76,17,64,,43,38,36,20,46.5,83,72,8.2,,44,54,15.3,15.3,,,20
2010-01-02 18:00:00,38,,17,33,61,37,60,,39,42,32,29,35.9,69.3,73,5.7,,44,59,14.5,14.8,,,25
2010-01-02 19:00:00,29,,21,33,51,33,59,,40,43,35,37,43.1,71.8,69,5.9,,45,50,13.4,24.2,,,19
2010-01-02 20:00:00,27,,26,34,43,34,61,,43,37,32,33,41.1,52.6,52,8.1,,42,50,11.7,24.9,,,33
2010-01-02 21:00:00,22,,23,32,29,35,65,,42,36,34,35,37.8,47.8,52,13,,36,48,9.9,30.2,,,44
2010-01-02 22:00:00,22,,25,34,36,42,54,,38,38,35,33,38,37.3,57,10.8,,33,46,8.9,30.6,,,48
2010-01-02 23:00:00,16,,23,36,24,22,54,,35,37,41,22,41,34.6,53,7.5,,39,49,10,20.2,,,59
2010-01-03 00:00:00,15,,18,31,24,29,59,,33,33,41,34,42.2,38.2,52,5.7,,39,,8.3,19.4,,,55
2010-01-03 01:00:00,17,,20,23,16,30,58,,37,31,38,37,44.1,38.5,53,5.9,,38,,6.3,18.8,,,61
2010-01-03 02:00:00,14,,23,18,13,18,65,,44,38,25,36,42.4,34.7,51,6.3,,19,,6.1,18.8,,,32
2010-01-03 03:00:00,13,,24,20,12,24,65,,48,43,14,36,42.7,31.7,49,5.9,,12,,6.5,17.7,,,42
2010-01-03 04:00:00,11,,23,23,12,14,60,,46,36,13,32,43.1,31.5,42,6.7,,11,,9.1,17.6,,,45
2010-01-03 05:00:00,12,,15,21,9,14,48,,37,27,13,26,48,34.7,41,8.8,,10,,9.3,14.7,,,58
2010-01-03 06:00:00,13,,20,12,9,16,37,,28,26,18,15,48,44.3,42,10.4,,12,,7.4,14.5,,,44
2010-01-03 07:00:00,12,,20,15,9,14,31,,20,25,18,14,49.4,54.9,41,7.4,,13,,9.3,21.4,,,44
2010-01-03 08:00:00,12,,26,17,19,22,26,,18,12,16,12,34.4,56.3,51,4.9,,13,,10.9,21.9,,,50
2010-01-03 09:00:00,12,,24,22,33,21,30,,16,23,14,18,26.2,50.2,47,6.8,,19,,9,21.7,,,58
2010-01-03 10:00:00,12,,40,16,31,30,44,,17,22,13,19,29.7,52.3,43,15.2,,23,,8.6,21.7,,,110
2010-01-03 11:00:00,14,,75,21,25,46,52,,18,24,19,16,31.5,52.9,42,21.3,,21,,18.4,33,,,144
2010-01-03 12:00:00,19,,81,21,23,36,44,,19,21,20,16,32.7,63.6,41,27,,24,,27.1,33.8,,,189
2010-01-03 13:00:00,16,,43,22,24,52,36,,19,28,19,31,34,67.4,42,20.1,,22,45,30.5,40.2,,,166
2010-01-03 14:00:00,14,,30,21,28,34,43,,23,35,18,34,32.5,66.3,50,20,,22,25,21.6,40.6,,,152
2010-01-03 15:00:00,15,,26,22,62,39,42,,28,36,22,31,28.5,66.2,47,23.8,,23,33,14.6,41,,,135
2010-01-03 16:00:00,16,,31,22,75,50,40,,24,36,22,40,31,69.6,48,38.7,,39,37,13.8,41,,,118
2010-01-03 17:00:00,17,,29,32,84,24,56,,22,41,25,46,32.2,62.9,42,49.9,,58,51,29.3,41.5,,,118
2010-01-03 18:00:00,33,,52,46,67,26,59,,29,42,23,47,36,64.8,47,43.7,,60,62,19.9,41.5,,,84
2010-01-03 19:00:00,36,,76,35,66,24,58,,35,46,30,65,42.2,62.4,42,50.2,,32,62,39.6,69.8,,,86
2010-01-03 20:00:00,35,,70,36,72,25,68,,43,48,45,74,41.5,54.7,42,60.8,,40,81,65.1,71.9,,,72
2010-01-03 21:00:00,35,,68,49,72,21,95,,45,50,69,149,42.2,51,41,23.5,,49,68,106.2,76.4,,,62
2010-01-03 22:00:00,35,,77,67,70,40,91,,65,81,109,175,34.8,49.9,45,20.2,,71,86,101.2,76.7,,,56
2010-01-03 23:00:00,35,,82,81,76,56,103,,64,65,110,190,42.2,42.2,50,17.1,,54,124,88.7,81.7,,,38
2010-01-04 00:00:00,,,106,76,83,69,104,,59,75,127,241,65.7,38.7,55,13.4,,63,118,75.8,82.1,,,21
2010-01-04 01:00:00,,,92,88,63,63,115,,68,97,121,147,70.3,48.6,58,9.6,,80,54,57.9,65.7,,,21
2010-01-04 02:00:00,,,79,63,50,40,122,,76,104,116,193,64.4,46.2,65,7.6,,65,45,53.7,64.3,,,12
2010-01-04 03:00:00,29,,67,60,29,41,99,,54,84,138,125,74.4,43.2,69,8.8,,49,78,35.3,53.1,,,13
2010-01-04 04:00:00,25,,48,58,31,34,127,,58,81,122,87,91.8,45.9,59,5.9,,36,100,35.8,52.2,,,8
2010-01-04 05:00:00,,,45,56,29,29,145,,70,82,125,79,86.8,39.8,56,7.3,,47,62,37.6,49.9,,,16
2010-01-04 06:00:00,30,,38,42,25,34,151,,102,108,130,78,94.5,42.9,56,9.2,,62,47,43,49.7,,,9
2010-01-04 07:00:00,34,,48,44,38,42,161,,114,122,129,72,86.8,51.4,59,8.6,,114,65,49.1,50.9,,,7
2010-01-04 08:00:00,34,,47,42,53,36,165,,124,131,141,76,91.9,76.5,70,11.3,,136,75,51.7,50.9,,,6
2010-01-04 09:00:00,45,,29,52,55,27,155,,139,,138,53,117.6,86.1,81,12.7,,122,145,40.6,47.3,,,16
2010-01-04 10:00:00,47,,26,39,53,31,142,,117,,149,51,140.8,81.2,81,17,,177,134,41.8,47,,,14
2010-01-04 11:00:00,50,,30,50,57,33,115,,100,102,132,45,107.8,74.2,79,21.7,,211,140,38.7,41.8,,,24
2010-01-04 12:00:00,50,,37,49,66,36,80,,72,57,185,54,65.6,62.8,70,16.9,,152,74,45.1,41.4,,,20
2010-01-04 13:00:00,50,,40,54,63,38,59,,40,39,129,54,30.1,50.9,55,13,,93,65,44.4,32.6,,,33
2010-01-04 14:00:00,47,,29,59,52,50,47,,26,30,129,57,28,59.2,53,9.8,,98,94,48.4,31.9,,,34
2010-01-04 15:00:00,48,,31,51,103,70,55,,32,26,92,58,35.5,72.1,53,10.2,,108,118,32.4,33,,,18
2010-01-04 16:00:00,74,,39,52,71,77,59,,45,38,64,65,54.2,90.8,52,8.7,,116,122,22.8,33,,,29
2010-01-04 17:00:00,104,,44,62,101,84,89,,75,59,54,76,81,172,68,19.5,,118,134,20.9,41.5,,,28
2010-01-04 18:00:00,101,,34,71,135,71,124,,78,,57,74,93.6,162.7,98,24.3,,160,118,32.7,42.1,,11.1,16
2010-01-04 19:00:00,138,,39,83,118,78,156,,143,,69,79,116.4,135.4,104,18.7,,188,139,28.1,49,,12.6,20
2010-01-04 20:00:00,161,,53,82,105,78,203,,177,,78,66,104.3,130.4,117,22.8,,154,166,37.7,49.5,,14.8,15
