Kod stacji,DsWrocWisA,KpBydgWarszawska,KpTorunDziewulsk,LdLodzWIOSACzernik,LdZgierzWIOSAMielcza,LuZgoraWIOS_AUT,MpKrakowWIOSAKra6117,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MzWarNiepodKom,MzWarszUrsynow,OpKkozle1a,PdBialyMiejska,PkJasloWIOSSikorskiego,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,Pm.a08a,SkKielJagielWios,SlGliwiGliw_mewy,SlKatowKato_kossu,WmOlsztyWIOS_Puszkin,WpWKP001,WpWKPKalisz007/10,ZpSzczecin001,ZpSzczecin002
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
2011-01-01 01:00:00,,54.3,44.3,26,39,18,78,82,55,56.4,33.4,76,43,47.48,80.37,50,27.6,53.6,109,68,,11.3,14.1,,30
2011-01-01 02:00:00,,1.1,44.3,50,14,44,64,55,42,41,30.7,129,104,45.87,40.46,53,4.1,62.5,90,55,,13.2,25.5,33,29
2011-01-01 03:00:00,,,21.8,25,12,12,55,45,34,31.9,25.5,80,40,43.49,33.81,49,6.5,67.6,75,56,,23.3,13.9,9,17
2011-01-01 04:00:00,,0.7,17.6,19,10,12,61,43,36,28.4,16.2,68,34,45.33,31.09,53,2,56.7,66,53,,23.1,16,9,19
2011-01-01 05:00:00,,0.6,17.1,20,10,16,55,33,32,27.9,14.9,70,26,48.1,29.92,51,2,58.4,62,45,,22,5.4,8,13
2011-01-01 06:00:00,,,10.9,20,8,17,44,30,22,23.6,13.6,80,31,49.47,30.75,52,1.6,56.4,56,42,,20.6,6.5,6,7
2011-01-01 07:00:00,,8.4,20,20,9,16,39,27,19,21.1,12.9,74,26,48.39,29.69,52,2,47.2,41,33,,12.9,22,6,5
2011-01-01 08:00:00,,5.1,27.9,14,10,21,42,23,20,20.3,19.8,61,15,44.85,31.72,58,3,32.4,38,30,,12.3,5.3,6,5
2011-01-01 09:00:00,,1.8,22.6,13,16,17,49,29,22,20.5,15.2,47,24,43.9,38.69,58,3.6,51.7,35,25,,9.3,16.6,7,5
2011-01-01 10:00:00,,4.4,16,19,22,19,51,36,26,18,15.3,42,9,43.56,32.17,57,6.9,49.2,32,20,,9,16.3,7,7
2011-01-01 11:00:00,,6.6,14.7,17,24,17,55,36,28,21.1,12.4,34,11,41.86,36.26,58,14.8,41.8,24,24,,7.4,12.3,6,7
2011-01-01 12:00:00,,7.4,19.8,20,22,22,56,34,32,18.5,11.9,43,11,39.63,39.73,54,15.2,41,19,26,,8,12,5,9
2011-01-01 13:00:00,,8.8,17.6,19,28,18,37,28,22,17.6,11.1,43,28,40.33,44.04,49,12.2,35.3,17,25,,11.2,12,5,15
2011-01-01 14:00:00,,5.2,15.5,16,31,16,35,24,16,18.2,11.7,42,21,42.02,49.17,55,12.3,33.1,21,22,,11.7,15.7,9,20
2011-01-01 15:00:00,,7.3,13,16,26,17,34,27,16,17,15,25,15,45.78,47.89,56,13.8,24.5,22,20,,14.4,11.2,9,20
2011-01-01 16:00:00,,6.1,13.6,15,25,15,37,35,16,14.1,10,24,17,46.58,52.87,54,11,20.2,21,25,,14.9,11,8,23
2011-01-01 17:00:00,,4.4,13.8,17,25,15,36,34,19,17.1,15.5,26,12,50.77,54.54,53,7.1,29.4,16,33,,17.8,12,9,17
2011-01-01 18:00:00,,2.1,11.7,13,26,13,29,21,15,16,13.1,31,7,48.14,49.61,51,11.6,26.6,17,28,,17.9,13,9,18
2011-01-01 19:00:00,,6.6,16.8,15,18,16,33,19,16,14.7,13.1,26,17,59.4,56.11,52,10.2,21.3,17,21,,18.1,14,10,22
2011-01-01 20:00:00,,10.3,11.5,14,20,13,35,20,15,13.3,13,27,7,59.11,51.54,53,10.8,17.7,18,19,,18,12.2,,28
2011-01-01 21:00:00,,9,10.5,13,22,17,38,15,15,10.6,12.1,26,16,50.54,41.4,51,5.7,21.9,19,25,,17.4,19.8,,25
2011-01-01 22:00:00,,9.5,11.2,16,14,10,32,18,16,10,16.7,23,9,37.78,40.62,52,8.8,14,17,22,,16.8,7.6,9,19
2011-01-01 23:00:00,,8.7,16.5,12,12,12,33,18,17,9.9,10.6,23,3,33.32,36.55,57,6.3,14.2,10,18,,13.4,6.1,9,25
