Kod stacji,DsWrocAlWisn,KpWiktorowoG,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,LdLodzCzerni,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MzSiedKonars,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,PdBialWaszyn,PkJasloSikor,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkPolaRuszcz,SlGliwicMewy,SlKatoKossut,WpPoznPolank,WpKaliSawick,ZpSzczAndr01,ZpSzczPils02
2012-01-01 01:00:00,79,,,,,51,182,69,163,73,123,33.3,111.3,81.1,91,35,,65.63,,162.8,45.37,64.4,55.3,220,64,62.3,55.4,27,29
2012-01-01 02:00:00,79,,,,,336,120,61,161,,135,32.2,112.9,107.5,91,121,,36.93,,47.9,68.68,42.5,58.6,117,,64.3,111,125,36
2012-01-01 03:00:00,79,,,,,125,86,71,175,105,132,35.3,103.1,98.9,81,45,,33.32,,18.7,27.37,44.1,68.1,90,95,83.7,95.1,44,42
2012-01-01 04:00:00,79,,,,,66,54,50,176,96,118,,98.2,58.1,71,43,,36.21,,52.9,15.53,36,77.6,80,98,82,77.4,18,36
2012-01-01 05:00:00,47,,,,,41,41,48,159,52,122,23.7,70.6,45.2,59,21,,29.92,,17,15,48.2,75.4,69,98,70.8,66.2,23,32
2012-01-01 06:00:00,37,,,,,28,27,42,166,84,112,18.8,44.2,30.1,59,24,,33.39,,21.4,14.05,56.9,78.6,53,76,70.4,52.8,21,31
2012-01-01 07:00:00,37,,,,,35,28,36,153,90,113,20.3,23.6,17.9,36,24,,33.58,,17.9,14.95,65.8,79.9,40,74,67.8,51,22,19
2012-01-01 08:00:00,27,,,,,48,41,35,139,105,111,21.1,21.5,21.4,22,34,,33.67,,16.5,22.58,54.1,69.9,32,67,66.2,46.6,20,18
2012-01-01 09:00:00,25,,,,,64,55,38,129,120,108,26.1,23.4,25,22,36,,31.81,,19.4,21.11,,47.5,35,61,55.1,57.8,28,21
2012-01-01 10:00:00,25,,,,,69,61,31,117,133,114,25.4,22.1,19.4,19,26,,32.52,,17.1,21.95,,29.3,24,65,54.2,47.6,23,30
2012-01-01 11:00:00,28,,,,,68,64,29,113,119,83,22.7,24.5,20.1,18,30,,29.18,,18.9,19.16,,24.6,29,54,48,44.2,21,29
2012-01-01 12:00:00,29,,,,,69,59,40,98,86,42,24.6,32.1,24.6,19,19,,31.5,,17,36.05,,20.4,24,19,46.6,44.9,22,25
2012-01-01 13:00:00,29,,,,,66,58,40,90,,43,33.6,34,34.3,25,16,,33.75,,20.4,51.21,,20.2,27,18,37.5,48.9,19,18
2012-01-01 14:00:00,25,,,,,54,62,39,91,,42,29.1,40.8,38.2,26,20,,32.81,,20.2,42.53,,20.7,23,,38.4,50,19,25
2012-01-01 15:00:00,23,,,,,42,45,36,98,45,49,32.4,37.2,39.9,24,31,,35.76,,22.3,76.11,,19.8,30,17,44.6,38.9,14,35
2012-01-01 16:00:00,23,,,,,38,44,33,103,55,51,38.9,36.1,34,21,26,,48.8,,26.6,46.74,,17.7,25,20,42.3,37.1,10,24
2012-01-01 17:00:00,26,,,,,36,36,24,104,73,67,43.4,38.8,35.6,18,25,,45.26,,30.3,55.42,,17.8,26,16,25.6,39.8,14,26
2012-01-01 18:00:00,26,,,,,34,52,17,109,71,80,45.9,39.9,33.8,19,17,,38.66,,28.3,52.21,,18.8,28,15,26.2,34.6,12,22
2012-01-01 19:00:00,26,,,,,32,39,25,119,75,74,42.7,37.9,31.3,18,29,,38.67,,27.9,51.05,,20.2,24,17,30.4,28.8,13,24
2012-01-01 20:00:00,25,,,,,34,47,24,127,65,77,37.2,37.8,38.8,22,25,,34.01,,24.8,42.47,,20.7,18,13,30.3,28,7,17
2012-01-01 21:00:00,25,,,,,30,43,24,115,62,66,36.3,37.4,36.4,20,35,,28.54,,23.9,44.84,,21,21,16,29.6,29.8,7,21
2012-01-01 22:00:00,25,,,,,33,28,19,110,73,47,36.4,39.2,41.6,18,31,,22.76,,27.2,44.05,,18.9,17,16,29.6,28.3,8,21
2012-01-01 23:00:00,17,,,,,30,24,14,125,67,51,33.2,40.6,39.5,17,28,,23.65,,27,36.42,,16.8,17,15,29.2,29.8,9,18
2012-01-02 00:00:00,14,,,,,27,20,23,92,,59,33,38.4,36.1,12,30,,22.17,,26,27.47,45.7,18.8,16,10,28,23.8,11,11
2012-01-02 01:00:00,14,,,,,31,13,18,77,71,54,30.9,36.3,37.8,10,35,,21.51,,18.4,37.45,33.5,17.3,15,10,19.1,23.9,11,8
2012-01-02 02:00:00,,,,,,23,13,17,86,70,63,27.9,29.8,29.4,9,17,,18.98,,15.5,25.68,31.8,17.3,16,,18.9,19.4,12,7
2012-01-02 03:00:00,13,,,,,19,11,21,83,73,69,26.6,24.4,24.8,11,18,,17.9,,9.9,19.32,25.9,18.2,10,10,17.5,20.8,2,4
2012-01-02 04:00:00,13,,,,,19,7,20,78,70,74,25.2,21,20.8,14,24,,16.89,,12,15.21,25.6,16.8,13,9,17.5,10.4,3,4
2012-01-02 05:00:00,12,,,,,18,5,19,88,61,86,24.5,21.8,18.8,12,22,,15.36,,8.9,8.37,15.7,16.1,10,,17.5,8.1,2,2
2012-01-02 06:00:00,11,,,,,20,7,14,93,52,80,22.8,23.6,19.4,8,20,,15.61,,12.4,10.84,21,16.6,12,,16.5,8,0,5
2012-01-02 07:00:00,11,,,,,13,7,12,95,35,84,24.7,25.1,16.9,16,21,,18.05,,11.5,11.95,15.1,15,16,,9.8,8.9,2,12
2012-01-02 08:00:00,21,,,,,20,8,20,94,42,73,26,27.9,12.5,18,26,,18.98,,14.5,18.63,11.9,13.8,11,,10,10.9,2,7
2012-01-02 09:00:00,24,,,,,12,12,15,95,59,87,26.9,31.2,13.3,14,22,,18.72,,16.2,31.32,19,15.9,22,,11.3,13.7,2,5
2012-01-02 10:00:00,24,,,,,15,21,13,102,87,97,27.7,28.2,16.7,17,25,,20.56,,14.2,19.68,30.6,16.1,21,,11,,2,5
2012-01-02 11:00:00,,,,,,17,25,16,112,117,108,26.2,29.6,18.2,,24,,38.32,,12.1,25.63,22.1,14.4,19,,9.1,,2,7
2012-01-02 12:00:00,25,,,,,17,20,15,108,121,95,27.1,25,18.5,,26,,23.49,,16.7,41.1,15.8,14,24,,9.1,,2,14
2012-01-02 13:00:00,25,,,,,11,24,13,87,121,62,24.6,26.5,16.5,24,26,,29.62,,14.1,44.84,22.9,13.6,22,,8.6,18,2,19
2012-01-02 14:00:00,17,,,,,18,23,13,76,81,54,24.9,26.1,17.5,23,29,,32.09,,12,34.58,29.3,13,30,,9.1,15.3,2,17
2012-01-02 15:00:00,14,,,,,16,34,17,67,65,54,26.1,26.8,18.5,24,36,,31.1,,12.8,20.74,36.4,14.4,35,,11.9,15,2,20
2012-01-02 16:00:00,14,,,,,14,34,21,94,78,56,30.3,28.6,19.7,30,32,,35.5,,13,121.37,27.4,17.3,31,,12.2,15.9,5,29
2012-01-02 17:00:00,21,,,,,16,40,20,84,106,81,34.3,30.7,20.9,31,23,,31.69,,19.5,55.95,29.9,19.1,28,,14.1,16,7,23
2012-01-02 18:00:00,24,,,,,23,36,25,83,73,110,32.9,32.1,22.3,33,30,,32.87,,20.5,65.26,,21.5,28,,16.5,26.2,8,28
2012-01-02 19:00:00,24,,,47.5,,27,36,19,104,76,130,30.2,33.3,23.7,34,26,,35.12,,18.5,86.84,,21.1,35,,32.1,25.3,8,37
2012-01-02 20:00:00,27,,,26.8,,30,38,32,105,98,101,28.7,34.4,24.5,27,30,,31.8,,26.4,55.79,,18.9,23,,30.5,25,7,34
2012-01-02 21:00:00,27,,,32.8,,28,37,17,110,110,89,28.2,35.2,26.4,26,27,,29.69,,32.1,177.16,2.9,18,20,,19.5,24.2,8,39
2012-01-02 22:00:00,27,,,26,,32,33,14,112,99,85,26.7,34.6,27.5,29,27,,28.88,,16.2,103.47,66.7,18.4,23,,20,24.9,10,34
2012-01-02 23:00:00,21,,,18.8,,30,32,14,76,62,62,27.6,34.5,27.7,31,30,,28.49,,14.5,39.32,,19.6,23,,23.1,17.9,10,31
2012-01-03 00:00:00,19,,,17.3,,31,29,11,72,60,57,26.9,31.2,26.9,34,33,,27.42,,8.8,27.47,,19,20,,21.9,23.1,9,17
2012-01-03 01:00:00,19,,,11.4,,34,23,9,50,60,49,26.8,27,23,32,34,,25.28,,6,9.9,,20.1,18,,13.4,16.8,8,10
2012-01-03 02:00:00,9,,,7.9,,30,20,8,49,49,40,24,25.5,24.1,31,36,,24.27,,7.5,10.89,,21.8,25,,12.9,7.8,9,14
2012-01-03 03:00:00,6,,,4.9,,31,4,11,44,37,37,22.5,19,18.6,28,32,,24.04,,6.2,11.95,,25.2,27,,9.4,7,10,18
2012-01-03 04:00:00,6,,,4.9,,10,5,9,34,20,31,19.9,12.2,14.3,26,24,,24.57,,8,11.05,,33.1,21,,10.1,7,10,12
2012-01-03 05:00:00,7,,,6.2,,8,8,7,35,16,30,17.1,9.3,9.9,31,8,,26.05,,5.9,10.05,,39.7,24,,14.7,6.1,7,10
2012-01-03 06:00:00,7,,,7.9,,7,9,10,38,20,32,10.3,10.4,9.3,27,8,,29.03,,6.1,11.89,,43.8,27,,14.9,8.7,5,8
2012-01-03 07:00:00,7,,,8.8,,10,25,10,38,21,33,10.5,12.4,10.9,29,10,,33.39,,7.8,34.74,,34.7,30,,16.3,12.5,5,5
2012-01-03 08:00:00,13,,,8.6,,12,19,9,39,20,35,13,21.4,9.9,30,12,,33.66,,9.1,18,,23.5,28,,15.7,15.6,4,5
2012-01-03 09:00:00,15,,,8.9,,19,20,15,45,20,39,13.5,23.4,11.1,38,13,,31.36,,8,47.32,,22,,,11.2,16,6,8
2012-01-03 10:00:00,15,,,14.1,,21,32,,53,26,38,15.4,26.7,12.7,32,14,,32.53,,8.5,21.53,,25.4,53,,11.3,16,7,16
2012-01-03 11:00:00,25,,,16.1,,16,25,13,50,32,40,18.4,28.8,13.3,32,16,,35.6,,9.5,31.37,,28.4,69,,11.9,11.4,7,17
2012-01-03 12:00:00,27,,,12.5,,21,18,13,48,27,40,,29.4,12.3,40,21,,42.21,,9.7,23.47,,36.2,73,,11.7,18.2,7,10
2012-01-03 13:00:00,27,,,10.9,,16,27,14,48,26,32,,26.9,12.5,36,19,,45.96,,6.5,26.79,,41.7,35,,10,16.4,6,6
2012-01-03 14:00:00,27,,,10,,11,23,14,49,31,35,13.4,28,10.8,34,24,,43.46,,7.7,25.11,,33.6,13,,9.7,10.5,5,5
2012-01-03 15:00:00,27,,,9.2,,17,25,19,36,18,19,14.6,25.2,9.6,16,23,,44.16,,10,28.79,,21.2,10,,7.9,17.2,5,5
2012-01-03 16:00:00,27,,,10.2,,14,31,11,50,21,26,22.4,23.5,11.5,10,16,,91.06,,7.8,35.63,,15.4,25,,7.9,15.4,6,4
2012-01-03 17:00:00,,,,10.7,,18,28,16,55,20,31,42,24.9,15.9,15,20,,104.15,,7.4,36.95,,25.7,24,,7.8,14.1,4,8
2012-01-03 18:00:00,27,,,12.1,,25,29,22,85,37,56,46.6,25.3,19.8,18,16,,87.81,,5.7,24.68,,37.1,25,,7.6,13.1,4,6
2012-01-03 19:00:00,27,,,9.3,,29,22,14,80,60,65,41.4,27.7,21.7,22,24,,78.72,,6.5,22.11,,44.3,18,,6.4,10.4,4,3
2012-01-03 20:00:00,16,,,4.8,,25,19,13,63,54,84,32.9,27.5,24,22,15,,73.69,,7.9,21.05,,42.9,18,,6.4,10.9,3,3
2012-01-03 21:00:00,13,,,4.3,,19,17,12,56,34,102,32.1,28,24.5,19,20,,103.91,,5.3,25.74,,38.4,14,,6.1,12.9,2,3
2012-01-03 22:00:00,13,,,2.2,,20,11,10,67,38,83,26.7,25,21.8,16,22,,36.21,,6,12.74,,34.7,12,,5.9,11.2,3,2
