Kod stacji,DsWrocAlWisn,KpWiktorowoG,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,LdLodzCzerni,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MzLegZegrzyn,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdBialWaszyn,PdSuwPulaski,PkPrzemGrunw,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkMalo11List,SkPolaRuszcz,SlGliwicMewy,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpPoznPolank,WpKaliSawick,ZpSzczAndr01,ZpSzczPils02
2014-01-01 01:00:00,152,104.56,116.214424,140.857376,52.4172,81.029259,119.696114,,104,78,64,44.44,,58.67,28.24,100.325798,63.49,,115,11.690991,,48.175,58.4,58.1,49.818253,34.12,56.54,188,104,32,84.121582,56.1,,105.489,109
2014-01-01 02:00:00,137,94.3,,121.629723,,210.36467,70.337502,,104,65,63,103.07,,40.07,19.63,69.41243,36.28,,134,38.584579,,33.747,28.5,72.8,84.106834,34.61,35.93,130,107,39,75.444382,55.2,82.5,149.797,118
2014-01-01 03:00:00,129,102.48,,59.189041,46.5652,66.425789,40.915695,,91,63,62,74.91,,32.72,15.39,40.967861,30.77,,137,12.564225,,30.622,27,55.5,50.174561,33.58,34.36,138,114,43,34.427513,49.9,83,86.9602,120
2014-01-01 04:00:00,129,102.32,,58.038334,45.8128,53.999668,37.817917,,89,59,58,39.27,,27.44,15.27,37.308937,31.69,,137,22.434578,,28.642,28.7,40.1,40.691849,31.37,35.21,171,108,42,32.742474,52,73.1,74.8762,104
2014-01-01 05:00:00,105,88.73,,59.658134,45.8128,52.23967,38.814861,,83,56,55,26.51,,28.01,17.45,38.185955,36.86,,136,15.719789,,27.781,25.7,36.3,43.774803,32.27,35.54,163,88,40,32.714367,63.4,74.9,61.9866,96
2014-01-01 06:00:00,92,83.68,,58.109863,44.4752,56.738743,40.452362,,81,54,54,28.27,,26.06,15.5,36.873173,34.44,,142,14.757535,,27.774,28.5,34.3,31.404785,32.28,34.78,152,77,45,29.906473,61.8,77.4,51.5138,87
2014-01-01 07:00:00,92,93.46,62.139446,56.460609,43.5556,54.783894,40.300835,,77,51,49,26.29,,25.03,15.5,35.300701,27.33,,146,20.632816,,28.713,31.6,34,32.149281,31.87,33.03,126,85,46,28.310535,53.2,80.8,58.7642,78
2014-01-01 08:00:00,60,95.59,,56.301666,39.8772,51.07201,37.902916,,74,45,47,29.81,,38.35,17.91,28.995245,24.8,,124,17.95072,,28.745,30.6,40,39.307007,35.47,31.11,111,80,36,28.712681,51.9,84.3,61.181,72
2014-01-01 09:00:00,44,101.42,,56.918221,33.2728,46.928078,40.842361,,76,45,48,42.02,26.87,45.93,20.21,28.090166,25.03,,87,17.733385,,27.18,30.7,41.9,37.405437,32.4,31.38,115,87,46,24.954979,44.8,88.7,49.097,64
2014-01-01 10:00:00,44,106.87,,56.706112,33.1056,44.203243,46.946388,,77,50,44,30.8,35.36,38.12,20.55,31.130125,25.37,,69,9.805284,,28.657,31.1,37.8,35.306301,26.25,34.32,89,86,44,21.300711,45.2,81.9,50.7082,56
